#      R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.3735E-01  0.1481E-01  0.5241E-03
  0.7471E-01  0.3009E-01  0.9725E-03
  0.1121E+00  0.4582E-01  0.1346E-02
  0.1494E+00  0.6202E-01  0.1647E-02
  0.1868E+00  0.7867E-01  0.1876E-02
  0.2241E+00  0.9576E-01  0.2038E-02
  0.2615E+00  0.1133E+00  0.2134E-02
  0.2988E+00  0.1312E+00  0.2170E-02
  0.3362E+00  0.1496E+00  0.2149E-02
  0.3735E+00  0.1683E+00  0.2077E-02
  0.4109E+00  0.1875E+00  0.1960E-02
  0.4483E+00  0.2069E+00  0.1804E-02
  0.4856E+00  0.2267E+00  0.1617E-02
  0.5230E+00  0.2469E+00  0.1410E-02
  0.5603E+00  0.2673E+00  0.1196E-02
  0.5977E+00  0.2880E+00  0.1000E-02
  0.6350E+00  0.3089E+00  0.8579E-03
  0.6724E+00  0.3300E+00  0.8174E-03
  0.7097E+00  0.3513E+00  0.9015E-03
  0.7471E+00  0.3727E+00  0.1082E-02
  0.7844E+00  0.3942E+00  0.1316E-02
  0.8218E+00  0.4158E+00  0.1571E-02
  0.8592E+00  0.4374E+00  0.1829E-02
  0.8965E+00  0.4590E+00  0.2079E-02
  0.9339E+00  0.4806E+00  0.2311E-02
  0.9712E+00  0.5021E+00  0.2522E-02
  0.1009E+01  0.5234E+00  0.2705E-02
  0.1046E+01  0.5446E+00  0.2858E-02
  0.1083E+01  0.5655E+00  0.2979E-02
  0.1121E+01  0.5862E+00  0.3066E-02
  0.1158E+01  0.6066E+00  0.3117E-02
  0.1195E+01  0.6266E+00  0.3133E-02
  0.1233E+01  0.6462E+00  0.3114E-02
  0.1270E+01  0.6654E+00  0.3061E-02
  0.1307E+01  0.6841E+00  0.2977E-02
  0.1345E+01  0.7023E+00  0.2863E-02
  0.1382E+01  0.7199E+00  0.2725E-02
  0.1419E+01  0.7368E+00  0.2567E-02
  0.1457E+01  0.7531E+00  0.2395E-02
  0.1494E+01  0.7687E+00  0.2218E-02
  0.1532E+01  0.7836E+00  0.2046E-02
