#      R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.3238E-01  0.8879E-02  0.2417E-03
  0.6476E-01  0.1829E-01  0.4544E-03
  0.9714E-01  0.2823E-01  0.6385E-03
  0.1295E+00  0.3869E-01  0.7944E-03
  0.1619E+00  0.4967E-01  0.9228E-03
  0.1943E+00  0.6116E-01  0.1025E-02
  0.2267E+00  0.7315E-01  0.1101E-02
  0.2590E+00  0.8563E-01  0.1152E-02
  0.2914E+00  0.9857E-01  0.1181E-02
  0.3238E+00  0.1120E+00  0.1188E-02
  0.3562E+00  0.1258E+00  0.1175E-02
  0.3886E+00  0.1401E+00  0.1145E-02
  0.4210E+00  0.1548E+00  0.1099E-02
  0.4533E+00  0.1698E+00  0.1041E-02
  0.4857E+00  0.1852E+00  0.9739E-03
  0.5181E+00  0.2009E+00  0.9019E-03
  0.5505E+00  0.2170E+00  0.8305E-03
  0.5829E+00  0.2333E+00  0.7664E-03
  0.6152E+00  0.2499E+00  0.7179E-03
  0.6476E+00  0.2667E+00  0.6933E-03
  0.6800E+00  0.2836E+00  0.6993E-03
  0.7124E+00  0.3008E+00  0.7372E-03
  0.7448E+00  0.3181E+00  0.8034E-03
  0.7771E+00  0.3354E+00  0.8909E-03
  0.8095E+00  0.3529E+00  0.9927E-03
  0.8419E+00  0.3703E+00  0.1103E-02
  0.8743E+00  0.3878E+00  0.1216E-02
  0.9067E+00  0.4053E+00  0.1328E-02
  0.9390E+00  0.4226E+00  0.1437E-02
  0.9714E+00  0.4399E+00  0.1541E-02
  0.1004E+01  0.4571E+00  0.1636E-02
  0.1036E+01  0.4740E+00  0.1723E-02
  0.1069E+01  0.4908E+00  0.1799E-02
  0.1101E+01  0.5074E+00  0.1864E-02
  0.1133E+01  0.5237E+00  0.1917E-02
  0.1166E+01  0.5397E+00  0.1957E-02
  0.1198E+01  0.5554E+00  0.1985E-02
  0.1230E+01  0.5708E+00  0.2001E-02
  0.1263E+01  0.5857E+00  0.2004E-02
  0.1295E+01  0.6003E+00  0.1995E-02
  0.1328E+01  0.6144E+00  0.1975E-02
  0.1360E+01  0.6281E+00  0.1944E-02
  0.1392E+01  0.6414E+00  0.1905E-02
  0.1425E+01  0.6541E+00  0.1857E-02
  0.1457E+01  0.6663E+00  0.1804E-02
  0.1490E+01  0.6780E+00  0.1746E-02
  0.1522E+01  0.6891E+00  0.1687E-02
  0.1554E+01  0.6997E+00  0.1629E-02
  0.1587E+01  0.7097E+00  0.1575E-02
  0.1619E+01  0.7191E+00  0.1528E-02
  0.1651E+01  0.7278E+00  0.1492E-02
  0.1684E+01  0.7360E+00  0.1468E-02
  0.1716E+01  0.7436E+00  0.1460E-02
  0.1749E+01  0.7505E+00  0.1469E-02
  0.1781E+01  0.7568E+00  0.1494E-02
  0.1813E+01  0.7625E+00  0.1536E-02
  0.1846E+01  0.7675E+00  0.1591E-02
  0.1878E+01  0.7719E+00  0.1657E-02
  0.1910E+01  0.7757E+00  0.1733E-02
  0.1943E+01  0.7789E+00  0.1814E-02
  0.1975E+01  0.7814E+00  0.1898E-02
  0.2008E+01  0.7834E+00  0.1984E-02
  0.2040E+01  0.7847E+00  0.2067E-02
  0.2072E+01  0.7855E+00  0.2148E-02
  0.2105E+01  0.7856E+00  0.2223E-02
  0.2137E+01  0.7853E+00  0.2293E-02
  0.2170E+01  0.7843E+00  0.2355E-02
  0.2202E+01  0.7828E+00  0.2409E-02
  0.2234E+01  0.7808E+00  0.2454E-02
  0.2267E+01  0.7783E+00  0.2491E-02
  0.2299E+01  0.7754E+00  0.2519E-02
  0.2331E+01  0.7719E+00  0.2538E-02
  0.2364E+01  0.7680E+00  0.2548E-02
  0.2396E+01  0.7637E+00  0.2551E-02
  0.2429E+01  0.7590E+00  0.2547E-02
  0.2461E+01  0.7539E+00  0.2536E-02
  0.2493E+01  0.7484E+00  0.2521E-02
  0.2526E+01  0.7426E+00  0.2502E-02
  0.2558E+01  0.7365E+00  0.2481E-02
  0.2590E+01  0.7301E+00  0.2460E-02
  0.2623E+01  0.7234E+00  0.2440E-02
  0.2655E+01  0.7165E+00  0.2423E-02
  0.2688E+01  0.7093E+00  0.2411E-02
  0.2720E+01  0.7019E+00  0.2405E-02
  0.2752E+01  0.6944E+00  0.2406E-02
  0.2785E+01  0.6866E+00  0.2415E-02
  0.2817E+01  0.6787E+00  0.2433E-02
  0.2850E+01  0.6707E+00  0.2460E-02
  0.2882E+01  0.6626E+00  0.2496E-02
  0.2914E+01  0.6544E+00  0.2540E-02
  0.2947E+01  0.6461E+00  0.2590E-02
  0.2979E+01  0.6378E+00  0.2646E-02
  0.3011E+01  0.6294E+00  0.2706E-02
  0.3044E+01  0.6210E+00  0.2768E-02
  0.3076E+01  0.6126E+00  0.2831E-02
  0.3109E+01  0.6042E+00  0.2894E-02
  0.3141E+01  0.5958E+00  0.2955E-02
  0.3173E+01  0.5874E+00  0.3012E-02
  0.3206E+01  0.5791E+00  0.3064E-02
  0.3238E+01  0.5708E+00  0.3111E-02
  0.3270E+01  0.5626E+00  0.3151E-02
  0.3303E+01  0.5544E+00  0.3183E-02
  0.3335E+01  0.5464E+00  0.3208E-02
  0.3368E+01  0.5384E+00  0.3224E-02
  0.3400E+01  0.5305E+00  0.3231E-02
  0.3432E+01  0.5226E+00  0.3230E-02
  0.3465E+01  0.5149E+00  0.3221E-02
  0.3497E+01  0.5073E+00  0.3205E-02
  0.3530E+01  0.4998E+00  0.3181E-02
  0.3562E+01  0.4924E+00  0.3151E-02
  0.3594E+01  0.4851E+00  0.3116E-02
  0.3627E+01  0.4779E+00  0.3077E-02
  0.3659E+01  0.4708E+00  0.3036E-02
  0.3691E+01  0.4638E+00  0.2994E-02
  0.3724E+01  0.4569E+00  0.2953E-02
  0.3756E+01  0.4502E+00  0.2915E-02
  0.3789E+01  0.4435E+00  0.2881E-02
  0.3821E+01  0.4369E+00  0.2853E-02
  0.3853E+01  0.4305E+00  0.2833E-02
  0.3886E+01  0.4241E+00  0.2822E-02
  0.3918E+01  0.4179E+00  0.2822E-02
  0.3950E+01  0.4117E+00  0.2832E-02
  0.3983E+01  0.4057E+00  0.2854E-02
  0.4015E+01  0.3997E+00  0.2886E-02
  0.4048E+01  0.3938E+00  0.2929E-02
  0.4080E+01  0.3881E+00  0.2980E-02
  0.4112E+01  0.3824E+00  0.3040E-02
  0.4145E+01  0.3768E+00  0.3106E-02
  0.4177E+01  0.3712E+00  0.3176E-02
  0.4210E+01  0.3658E+00  0.3249E-02
  0.4242E+01  0.3604E+00  0.3324E-02
  0.4274E+01  0.3551E+00  0.3398E-02
  0.4307E+01  0.3499E+00  0.3470E-02
  0.4339E+01  0.3448E+00  0.3539E-02
  0.4371E+01  0.3397E+00  0.3604E-02
  0.4404E+01  0.3347E+00  0.3663E-02
  0.4436E+01  0.3298E+00  0.3715E-02
  0.4469E+01  0.3249E+00  0.3761E-02
  0.4501E+01  0.3201E+00  0.3799E-02
  0.4533E+01  0.3154E+00  0.3828E-02
  0.4566E+01  0.3107E+00  0.3850E-02
  0.4598E+01  0.3061E+00  0.3864E-02
  0.4630E+01  0.3016E+00  0.3870E-02
  0.4663E+01  0.2971E+00  0.3869E-02
  0.4695E+01  0.2926E+00  0.3861E-02
  0.4728E+01  0.2882E+00  0.3847E-02
  0.4760E+01  0.2838E+00  0.3828E-02
  0.4792E+01  0.2795E+00  0.3805E-02
