#      R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.4127E-01  0.1427E-01  0.5094E-03
  0.8254E-01  0.2901E-01  0.9360E-03
  0.1238E+00  0.4422E-01  0.1281E-02
  0.1651E+00  0.5989E-01  0.1547E-02
  0.2063E+00  0.7603E-01  0.1736E-02
  0.2476E+00  0.9261E-01  0.1853E-02
  0.2889E+00  0.1096E+00  0.1902E-02
  0.3302E+00  0.1271E+00  0.1889E-02
  0.3714E+00  0.1449E+00  0.1819E-02
  0.4127E+00  0.1631E+00  0.1701E-02
  0.4540E+00  0.1817E+00  0.1543E-02
  0.4952E+00  0.2006E+00  0.1356E-02
  0.5365E+00  0.2199E+00  0.1156E-02
  0.5778E+00  0.2394E+00  0.9664E-03
  0.6190E+00  0.2591E+00  0.8263E-03
  0.6603E+00  0.2791E+00  0.7868E-03
  0.7016E+00  0.2993E+00  0.8734E-03
  0.7429E+00  0.3196E+00  0.1057E-02
  0.7841E+00  0.3400E+00  0.1291E-02
  0.8254E+00  0.3604E+00  0.1543E-02
  0.8667E+00  0.3809E+00  0.1794E-02
  0.9079E+00  0.4013E+00  0.2033E-02
  0.9492E+00  0.4217E+00  0.2249E-02
  0.9905E+00  0.4419E+00  0.2438E-02
  0.1032E+01  0.4620E+00  0.2595E-02
  0.1073E+01  0.4818E+00  0.2717E-02
  0.1114E+01  0.5014E+00  0.2802E-02
  0.1156E+01  0.5206E+00  0.2848E-02
  0.1197E+01  0.5394E+00  0.2855E-02
  0.1238E+01  0.5578E+00  0.2826E-02
  0.1279E+01  0.5757E+00  0.2761E-02
  0.1321E+01  0.5931E+00  0.2664E-02
  0.1362E+01  0.6098E+00  0.2541E-02
  0.1403E+01  0.6259E+00  0.2396E-02
  0.1444E+01  0.6413E+00  0.2240E-02
  0.1486E+01  0.6560E+00  0.2083E-02
  0.1527E+01  0.6699E+00  0.1939E-02
  0.1568E+01  0.6830E+00  0.1824E-02
  0.1610E+01  0.6952E+00  0.1756E-02
  0.1651E+01  0.7065E+00  0.1747E-02
  0.1692E+01  0.7168E+00  0.1802E-02
  0.1733E+01  0.7263E+00  0.1915E-02
  0.1775E+01  0.7347E+00  0.2074E-02
  0.1816E+01  0.7421E+00  0.2262E-02
  0.1857E+01  0.7485E+00  0.2465E-02
  0.1898E+01  0.7539E+00  0.2669E-02
  0.1940E+01  0.7582E+00  0.2866E-02
  0.1981E+01  0.7615E+00  0.3045E-02
  0.2022E+01  0.7637E+00  0.3202E-02
  0.2063E+01  0.7650E+00  0.3332E-02
  0.2105E+01  0.7652E+00  0.3430E-02
  0.2146E+01  0.7644E+00  0.3494E-02
  0.2187E+01  0.7626E+00  0.3523E-02
  0.2229E+01  0.7599E+00  0.3518E-02
  0.2270E+01  0.7563E+00  0.3477E-02
  0.2311E+01  0.7518E+00  0.3405E-02
  0.2352E+01  0.7464E+00  0.3304E-02
  0.2394E+01  0.7403E+00  0.3178E-02
  0.2435E+01  0.7334E+00  0.3034E-02
  0.2476E+01  0.7258E+00  0.2881E-02
  0.2517E+01  0.7175E+00  0.2728E-02
  0.2559E+01  0.7087E+00  0.2587E-02
  0.2600E+01  0.6993E+00  0.2471E-02
  0.2641E+01  0.6894E+00  0.2396E-02
  0.2683E+01  0.6790E+00  0.2371E-02
  0.2724E+01  0.6684E+00  0.2404E-02
  0.2765E+01  0.6574E+00  0.2493E-02
  0.2806E+01  0.6461E+00  0.2631E-02
  0.2848E+01  0.6346E+00  0.2806E-02
  0.2889E+01  0.6230E+00  0.3005E-02
  0.2930E+01  0.6113E+00  0.3216E-02
  0.2971E+01  0.5996E+00  0.3428E-02
  0.3013E+01  0.5879E+00  0.3631E-02
  0.3054E+01  0.5762E+00  0.3818E-02
  0.3095E+01  0.5646E+00  0.3983E-02
  0.3137E+01  0.5532E+00  0.4121E-02
  0.3178E+01  0.5420E+00  0.4229E-02
  0.3219E+01  0.5309E+00  0.4304E-02
  0.3260E+01  0.5201E+00  0.4345E-02
  0.3302E+01  0.5095E+00  0.4352E-02
  0.3343E+01  0.4992E+00  0.4326E-02
  0.3384E+01  0.4892E+00  0.4270E-02
  0.3425E+01  0.4796E+00  0.4187E-02
  0.3467E+01  0.4702E+00  0.4081E-02
  0.3508E+01  0.4611E+00  0.3958E-02
  0.3549E+01  0.4524E+00  0.3827E-02
  0.3590E+01  0.4439E+00  0.3695E-02
  0.3632E+01  0.4358E+00  0.3572E-02
  0.3673E+01  0.4279E+00  0.3468E-02
  0.3714E+01  0.4204E+00  0.3394E-02
  0.3756E+01  0.4131E+00  0.3358E-02
  0.3797E+01  0.4060E+00  0.3365E-02
  0.3838E+01  0.3992E+00  0.3416E-02
  0.3879E+01  0.3925E+00  0.3510E-02
  0.3921E+01  0.3861E+00  0.3640E-02
  0.3962E+01  0.3798E+00  0.3798E-02
  0.4003E+01  0.3736E+00  0.3973E-02
  0.4044E+01  0.3675E+00  0.4158E-02
  0.4086E+01  0.3616E+00  0.4342E-02
  0.4127E+01  0.3556E+00  0.4519E-02
  0.4168E+01  0.3497E+00  0.4681E-02
  0.4210E+01  0.3438E+00  0.4824E-02
  0.4251E+01  0.3379E+00  0.4943E-02
  0.4292E+01  0.3320E+00  0.5036E-02
  0.4333E+01  0.3261E+00  0.5101E-02
  0.4375E+01  0.3200E+00  0.5137E-02
  0.4416E+01  0.3140E+00  0.5146E-02
  0.4457E+01  0.3078E+00  0.5129E-02
  0.4498E+01  0.3015E+00  0.5090E-02
  0.4540E+01  0.2952E+00  0.5031E-02
  0.4581E+01  0.2887E+00  0.4958E-02
  0.4622E+01  0.2822E+00  0.4876E-02
  0.4663E+01  0.2756E+00  0.4792E-02
  0.4705E+01  0.2689E+00  0.4713E-02
  0.4746E+01  0.2621E+00  0.4644E-02
  0.4787E+01  0.2553E+00  0.4591E-02
  0.4829E+01  0.2484E+00  0.4561E-02
  0.4870E+01  0.2414E+00  0.4554E-02
  0.4911E+01  0.2344E+00  0.4574E-02
  0.4952E+01  0.2275E+00  0.4618E-02
  0.4994E+01  0.2205E+00  0.4683E-02
  0.5035E+01  0.2135E+00  0.4766E-02
  0.5076E+01  0.2066E+00  0.4859E-02
  0.5117E+01  0.1998E+00  0.4957E-02
  0.5159E+01  0.1930E+00  0.5054E-02
  0.5200E+01  0.1863E+00  0.5143E-02
  0.5241E+01  0.1798E+00  0.5219E-02
  0.5283E+01  0.1734E+00  0.5277E-02
  0.5324E+01  0.1671E+00  0.5315E-02
  0.5365E+01  0.1610E+00  0.5330E-02
  0.5406E+01  0.1550E+00  0.5321E-02
  0.5448E+01  0.1493E+00  0.5288E-02
  0.5489E+01  0.1437E+00  0.5233E-02
  0.5530E+01  0.1384E+00  0.5159E-02
  0.5571E+01  0.1332E+00  0.5070E-02
  0.5613E+01  0.1283E+00  0.4972E-02
  0.5654E+01  0.1236E+00  0.4872E-02
  0.5695E+01  0.1191E+00  0.4778E-02
  0.5737E+01  0.1148E+00  0.4698E-02
  0.5778E+01  0.1107E+00  0.4640E-02
  0.5819E+01  0.1068E+00  0.4613E-02
  0.5860E+01  0.1031E+00  0.4621E-02
  0.5902E+01  0.9959E-01  0.4668E-02
  0.5943E+01  0.9624E-01  0.4754E-02
  0.5984E+01  0.9306E-01  0.4874E-02
  0.6025E+01  0.9002E-01  0.5024E-02
  0.6067E+01  0.8711E-01  0.5196E-02
  0.6108E+01  0.8433E-01  0.5380E-02
  0.6149E+01  0.8164E-01  0.5569E-02
  0.6190E+01  0.7904E-01  0.5753E-02
  0.6232E+01  0.7651E-01  0.5925E-02
  0.6273E+01  0.7404E-01  0.6077E-02
  0.6314E+01  0.7161E-01  0.6203E-02
  0.6356E+01  0.6922E-01  0.6300E-02
  0.6397E+01  0.6684E-01  0.6364E-02
  0.6438E+01  0.6447E-01  0.6393E-02
  0.6479E+01  0.6209E-01  0.6387E-02
  0.6521E+01  0.5971E-01  0.6347E-02
  0.6562E+01  0.5730E-01  0.6277E-02
  0.6603E+01  0.5487E-01  0.6182E-02
  0.6644E+01  0.5242E-01  0.6068E-02
  0.6686E+01  0.4993E-01  0.5946E-02
  0.6727E+01  0.4742E-01  0.5824E-02
  0.6768E+01  0.4488E-01  0.5716E-02
  0.6810E+01  0.4232E-01  0.5634E-02
  0.6851E+01  0.3973E-01  0.5589E-02
  0.6892E+01  0.3714E-01  0.5593E-02
  0.6933E+01  0.3454E-01  0.5650E-02
  0.6975E+01  0.3196E-01  0.5763E-02
  0.7016E+01  0.2938E-01  0.5926E-02
  0.7057E+01  0.2684E-01  0.6131E-02
  0.7098E+01  0.2434E-01  0.6366E-02
  0.7140E+01  0.2190E-01  0.6615E-02
  0.7181E+01  0.1952E-01  0.6862E-02
  0.7222E+01  0.1722E-01  0.7090E-02
  0.7263E+01  0.1502E-01  0.7283E-02
  0.7305E+01  0.1294E-01  0.7424E-02
  0.7346E+01  0.1097E-01  0.7497E-02
  0.7387E+01  0.9135E-02  0.7488E-02
  0.7429E+01  0.7447E-02  0.7383E-02
  0.7470E+01  0.5915E-02  0.7166E-02
  0.7511E+01  0.4548E-02  0.6826E-02
  0.7552E+01  0.3352E-02  0.6350E-02
  0.7594E+01  0.2335E-02  0.5725E-02
  0.7635E+01  0.1499E-02  0.4940E-02
  0.7676E+01  0.8484E-03  0.3985E-02
  0.7717E+01  0.3826E-03  0.2850E-02
  0.7759E+01  0.1008E-03  0.1525E-02
  0.7800E+01  0.0000E+00  0.0000E+00
