#      R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.3667E-01  0.1040E-01  0.4095E-03
  0.7333E-01  0.2134E-01  0.7613E-03
  0.1100E+00  0.3282E-01  0.1056E-02
  0.1467E+00  0.4485E-01  0.1295E-02
  0.1833E+00  0.5740E-01  0.1481E-02
  0.2200E+00  0.7047E-01  0.1613E-02
  0.2567E+00  0.8404E-01  0.1697E-02
  0.2933E+00  0.9810E-01  0.1733E-02
  0.3300E+00  0.1126E+00  0.1726E-02
  0.3667E+00  0.1276E+00  0.1679E-02
  0.4033E+00  0.1430E+00  0.1596E-02
  0.4400E+00  0.1589E+00  0.1483E-02
  0.4767E+00  0.1751E+00  0.1346E-02
  0.5133E+00  0.1916E+00  0.1193E-02
  0.5500E+00  0.2085E+00  0.1034E-02
  0.5867E+00  0.2256E+00  0.8870E-03
  0.6233E+00  0.2431E+00  0.7765E-03
  0.6600E+00  0.2607E+00  0.7352E-03
  0.6967E+00  0.2785E+00  0.7834E-03
  0.7333E+00  0.2965E+00  0.9101E-03
  0.7700E+00  0.3146E+00  0.1087E-02
  0.8067E+00  0.3327E+00  0.1290E-02
  0.8433E+00  0.3509E+00  0.1502E-02
  0.8800E+00  0.3691E+00  0.1712E-02
  0.9167E+00  0.3872E+00  0.1915E-02
  0.9533E+00  0.4053E+00  0.2104E-02
  0.9900E+00  0.4232E+00  0.2275E-02
  0.1027E+01  0.4409E+00  0.2426E-02
  0.1063E+01  0.4584E+00  0.2554E-02
  0.1100E+01  0.4757E+00  0.2658E-02
  0.1137E+01  0.4927E+00  0.2735E-02
  0.1173E+01  0.5093E+00  0.2785E-02
  0.1210E+01  0.5255E+00  0.2808E-02
  0.1247E+01  0.5413E+00  0.2804E-02
  0.1283E+01  0.5567E+00  0.2774E-02
  0.1320E+01  0.5716E+00  0.2719E-02
  0.1357E+01  0.5860E+00  0.2641E-02
  0.1393E+01  0.5998E+00  0.2542E-02
  0.1430E+01  0.6130E+00  0.2425E-02
  0.1467E+01  0.6256E+00  0.2295E-02
  0.1503E+01  0.6375E+00  0.2156E-02
  0.1540E+01  0.6488E+00  0.2014E-02
  0.1577E+01  0.6594E+00  0.1876E-02
  0.1613E+01  0.6693E+00  0.1752E-02
  0.1650E+01  0.6784E+00  0.1652E-02
  0.1687E+01  0.6869E+00  0.1586E-02
  0.1723E+01  0.6945E+00  0.1563E-02
  0.1760E+01  0.7014E+00  0.1585E-02
  0.1797E+01  0.7075E+00  0.1651E-02
  0.1833E+01  0.7128E+00  0.1754E-02
  0.1870E+01  0.7173E+00  0.1885E-02
  0.1907E+01  0.7210E+00  0.2033E-02
  0.1943E+01  0.7240E+00  0.2190E-02
  0.1980E+01  0.7262E+00  0.2348E-02
  0.2017E+01  0.7276E+00  0.2502E-02
  0.2053E+01  0.7282E+00  0.2646E-02
  0.2090E+01  0.7282E+00  0.2778E-02
  0.2127E+01  0.7273E+00  0.2893E-02
  0.2163E+01  0.7258E+00  0.2991E-02
  0.2200E+01  0.7236E+00  0.3069E-02
  0.2237E+01  0.7207E+00  0.3126E-02
  0.2273E+01  0.7172E+00  0.3163E-02
  0.2310E+01  0.7130E+00  0.3179E-02
  0.2347E+01  0.7083E+00  0.3176E-02
  0.2383E+01  0.7030E+00  0.3153E-02
  0.2420E+01  0.6972E+00  0.3114E-02
  0.2457E+01  0.6909E+00  0.3061E-02
  0.2493E+01  0.6841E+00  0.2995E-02
  0.2530E+01  0.6769E+00  0.2921E-02
  0.2567E+01  0.6693E+00  0.2843E-02
  0.2603E+01  0.6614E+00  0.2765E-02
  0.2640E+01  0.6531E+00  0.2691E-02
  0.2677E+01  0.6445E+00  0.2626E-02
  0.2713E+01  0.6357E+00  0.2576E-02
  0.2750E+01  0.6267E+00  0.2542E-02
  0.2787E+01  0.6174E+00  0.2530E-02
  0.2823E+01  0.6081E+00  0.2539E-02
  0.2860E+01  0.5986E+00  0.2570E-02
  0.2897E+01  0.5890E+00  0.2621E-02
  0.2933E+01  0.5794E+00  0.2689E-02
  0.2970E+01  0.5698E+00  0.2770E-02
  0.3007E+01  0.5601E+00  0.2860E-02
  0.3043E+01  0.5505E+00  0.2954E-02
  0.3080E+01  0.5410E+00  0.3049E-02
  0.3117E+01  0.5315E+00  0.3140E-02
  0.3153E+01  0.5221E+00  0.3223E-02
  0.3190E+01  0.5129E+00  0.3297E-02
  0.3227E+01  0.5038E+00  0.3359E-02
  0.3263E+01  0.4948E+00  0.3407E-02
  0.3300E+01  0.4860E+00  0.3440E-02
  0.3337E+01  0.4774E+00  0.3458E-02
  0.3373E+01  0.4689E+00  0.3460E-02
  0.3410E+01  0.4607E+00  0.3447E-02
  0.3447E+01  0.4527E+00  0.3419E-02
  0.3483E+01  0.4448E+00  0.3379E-02
  0.3520E+01  0.4372E+00  0.3328E-02
  0.3557E+01  0.4298E+00  0.3269E-02
  0.3593E+01  0.4225E+00  0.3205E-02
  0.3630E+01  0.4155E+00  0.3140E-02
  0.3667E+01  0.4087E+00  0.3076E-02
  0.3703E+01  0.4020E+00  0.3018E-02
