#      R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.3317E-01  0.1537E-01  0.2589E-03
  0.6635E-01  0.3097E-01  0.4866E-03
  0.9952E-01  0.4679E-01  0.6833E-03
  0.1327E+00  0.6284E-01  0.8497E-03
  0.1659E+00  0.7910E-01  0.9864E-03
  0.1990E+00  0.9558E-01  0.1095E-02
  0.2322E+00  0.1123E+00  0.1175E-02
  0.2654E+00  0.1292E+00  0.1230E-02
  0.2986E+00  0.1463E+00  0.1259E-02
  0.3317E+00  0.1635E+00  0.1267E-02
  0.3649E+00  0.1810E+00  0.1253E-02
  0.3981E+00  0.1986E+00  0.1221E-02
  0.4313E+00  0.2164E+00  0.1173E-02
  0.4644E+00  0.2344E+00  0.1113E-02
  0.4976E+00  0.2525E+00  0.1044E-02
  0.5308E+00  0.2707E+00  0.9705E-03
  0.5640E+00  0.2891E+00  0.8985E-03
  0.5971E+00  0.3075E+00  0.8349E-03
  0.6303E+00  0.3260E+00  0.7876E-03
  0.6635E+00  0.3446E+00  0.7644E-03
  0.6967E+00  0.3632E+00  0.7709E-03
  0.7298E+00  0.3819E+00  0.8081E-03
  0.7630E+00  0.4006E+00  0.8722E-03
  0.7962E+00  0.4193E+00  0.9568E-03
  0.8294E+00  0.4379E+00  0.1055E-02
  0.8625E+00  0.4565E+00  0.1161E-02
  0.8957E+00  0.4751E+00  0.1269E-02
  0.9289E+00  0.4935E+00  0.1376E-02
  0.9621E+00  0.5118E+00  0.1479E-02
  0.9952E+00  0.5300E+00  0.1575E-02
  0.1028E+01  0.5480E+00  0.1663E-02
  0.1062E+01  0.5658E+00  0.1740E-02
  0.1095E+01  0.5834E+00  0.1807E-02
  0.1128E+01  0.6008E+00  0.1862E-02
  0.1161E+01  0.6179E+00  0.1905E-02
  0.1194E+01  0.6347E+00  0.1936E-02
  0.1227E+01  0.6512E+00  0.1954E-02
  0.1261E+01  0.6673E+00  0.1961E-02
  0.1294E+01  0.6831E+00  0.1956E-02
  0.1327E+01  0.6984E+00  0.1941E-02
  0.1360E+01  0.7134E+00  0.1916E-02
  0.1393E+01  0.7279E+00  0.1884E-02
  0.1427E+01  0.7419E+00  0.1847E-02
  0.1460E+01  0.7554E+00  0.1806E-02
  0.1493E+01  0.7684E+00  0.1763E-02
  0.1526E+01  0.7808E+00  0.1722E-02
  0.1559E+01  0.7927E+00  0.1686E-02
  0.1592E+01  0.8040E+00  0.1657E-02
  0.1626E+01  0.8147E+00  0.1639E-02
  0.1659E+01  0.8248E+00  0.1632E-02
  0.1692E+01  0.8343E+00  0.1640E-02
  0.1725E+01  0.8430E+00  0.1663E-02
  0.1758E+01  0.8512E+00  0.1700E-02
  0.1791E+01  0.8586E+00  0.1751E-02
  0.1825E+01  0.8654E+00  0.1813E-02
  0.1858E+01  0.8715E+00  0.1885E-02
  0.1891E+01  0.8768E+00  0.1964E-02
  0.1924E+01  0.8815E+00  0.2047E-02
  0.1957E+01  0.8855E+00  0.2132E-02
  0.1990E+01  0.8887E+00  0.2217E-02
  0.2024E+01  0.8912E+00  0.2299E-02
  0.2057E+01  0.8931E+00  0.2377E-02
