#      R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.3238E-01  0.8768E-02  0.2405E-03
  0.6476E-01  0.1799E-01  0.4538E-03
  0.9714E-01  0.2768E-01  0.6401E-03
  0.1295E+00  0.3781E-01  0.7999E-03
  0.1619E+00  0.4839E-01  0.9337E-03
  0.1943E+00  0.5941E-01  0.1042E-02
  0.2267E+00  0.7086E-01  0.1126E-02
  0.2590E+00  0.8273E-01  0.1187E-02
  0.2914E+00  0.9500E-01  0.1226E-02
  0.3238E+00  0.1077E+00  0.1244E-02
  0.3562E+00  0.1207E+00  0.1243E-02
  0.3886E+00  0.1341E+00  0.1224E-02
  0.4210E+00  0.1478E+00  0.1190E-02
  0.4533E+00  0.1619E+00  0.1142E-02
  0.4857E+00  0.1762E+00  0.1084E-02
  0.5181E+00  0.1908E+00  0.1018E-02
  0.5505E+00  0.2057E+00  0.9485E-03
  0.5829E+00  0.2208E+00  0.8799E-03
  0.6152E+00  0.2361E+00  0.8180E-03
  0.6476E+00  0.2516E+00  0.7696E-03
  0.6800E+00  0.2673E+00  0.7416E-03
  0.7124E+00  0.2830E+00  0.7395E-03
  0.7448E+00  0.2989E+00  0.7656E-03
  0.7771E+00  0.3148E+00  0.8178E-03
  0.8095E+00  0.3308E+00  0.8911E-03
  0.8419E+00  0.3467E+00  0.9796E-03
  0.8743E+00  0.3627E+00  0.1078E-02
  0.9067E+00  0.3786E+00  0.1181E-02
  0.9390E+00  0.3944E+00  0.1285E-02
  0.9714E+00  0.4101E+00  0.1388E-02
  0.1004E+01  0.4257E+00  0.1486E-02
  0.1036E+01  0.4411E+00  0.1578E-02
  0.1069E+01  0.4563E+00  0.1663E-02
  0.1101E+01  0.4713E+00  0.1740E-02
  0.1133E+01  0.4861E+00  0.1807E-02
  0.1166E+01  0.5006E+00  0.1864E-02
  0.1198E+01  0.5147E+00  0.1910E-02
  0.1230E+01  0.5286E+00  0.1945E-02
  0.1263E+01  0.5421E+00  0.1970E-02
  0.1295E+01  0.5553E+00  0.1983E-02
  0.1328E+01  0.5680E+00  0.1986E-02
  0.1360E+01  0.5804E+00  0.1979E-02
  0.1392E+01  0.5923E+00  0.1963E-02
  0.1425E+01  0.6038E+00  0.1938E-02
  0.1457E+01  0.6148E+00  0.1906E-02
  0.1490E+01  0.6254E+00  0.1868E-02
  0.1522E+01  0.6354E+00  0.1826E-02
  0.1554E+01  0.6450E+00  0.1782E-02
  0.1587E+01  0.6540E+00  0.1736E-02
  0.1619E+01  0.6626E+00  0.1693E-02
  0.1651E+01  0.6705E+00  0.1653E-02
  0.1684E+01  0.6780E+00  0.1619E-02
  0.1716E+01  0.6849E+00  0.1594E-02
  0.1749E+01  0.6913E+00  0.1579E-02
  0.1781E+01  0.6971E+00  0.1575E-02
  0.1813E+01  0.7023E+00  0.1584E-02
  0.1846E+01  0.7070E+00  0.1605E-02
  0.1878E+01  0.7112E+00  0.1638E-02
  0.1910E+01  0.7148E+00  0.1681E-02
  0.1943E+01  0.7179E+00  0.1734E-02
  0.1975E+01  0.7204E+00  0.1793E-02
  0.2008E+01  0.7224E+00  0.1858E-02
  0.2040E+01  0.7239E+00  0.1925E-02
  0.2072E+01  0.7248E+00  0.1993E-02
  0.2105E+01  0.7253E+00  0.2061E-02
  0.2137E+01  0.7253E+00  0.2126E-02
  0.2170E+01  0.7248E+00  0.2187E-02
  0.2202E+01  0.7238E+00  0.2243E-02
  0.2234E+01  0.7223E+00  0.2293E-02
  0.2267E+01  0.7205E+00  0.2337E-02
  0.2299E+01  0.7181E+00  0.2373E-02
  0.2331E+01  0.7154E+00  0.2401E-02
  0.2364E+01  0.7123E+00  0.2421E-02
  0.2396E+01  0.7088E+00  0.2433E-02
  0.2429E+01  0.7050E+00  0.2436E-02
  0.2461E+01  0.7008E+00  0.2432E-02
  0.2493E+01  0.6962E+00  0.2421E-02
  0.2526E+01  0.6914E+00  0.2403E-02
  0.2558E+01  0.6862E+00  0.2380E-02
  0.2590E+01  0.6808E+00  0.2351E-02
  0.2623E+01  0.6751E+00  0.2318E-02
  0.2655E+01  0.6692E+00  0.2283E-02
  0.2688E+01  0.6631E+00  0.2247E-02
  0.2720E+01  0.6567E+00  0.2211E-02
  0.2752E+01  0.6502E+00  0.2176E-02
  0.2785E+01  0.6435E+00  0.2145E-02
