#      R          P(R)      ERROR
#
  0.4932E+01  0.4017E+00  0.8123E-02
  0.4971E+01  0.3916E+00  0.8649E-02
  0.5010E+01  0.3815E+00  0.9117E-02
  0.5049E+01  0.3714E+00  0.9516E-02
  0.5088E+01  0.3612E+00  0.9837E-02
  0.5126E+01  0.3511E+00  0.1007E-01
  0.5165E+01  0.3409E+00  0.1022E-01
  0.5204E+01  0.3309E+00  0.1028E-01
  0.5243E+01  0.3208E+00  0.1024E-01
  0.5282E+01  0.3109E+00  0.1012E-01
  0.5321E+01  0.3010E+00  0.9908E-02
  0.5359E+01  0.2913E+00  0.9624E-02
  0.5398E+01  0.2817E+00  0.9274E-02
  0.5437E+01  0.2723E+00  0.8873E-02
  0.5476E+01  0.2630E+00  0.8440E-02
  0.5515E+01  0.2540E+00  0.7995E-02
  0.5554E+01  0.2452E+00  0.7566E-02
  0.5592E+01  0.2366E+00  0.7183E-02
  0.5631E+01  0.2283E+00  0.6878E-02
  0.5670E+01  0.2203E+00  0.6683E-02
  0.5709E+01  0.2125E+00  0.6621E-02
  0.5748E+01  0.2051E+00  0.6699E-02
  0.5787E+01  0.1980E+00  0.6910E-02
  0.5825E+01  0.1913E+00  0.7232E-02
  0.5864E+01  0.1850E+00  0.7634E-02
  0.5903E+01  0.1790E+00  0.8083E-02
  0.5942E+01  0.1735E+00  0.8546E-02
  0.5981E+01  0.1683E+00  0.8997E-02
  0.6020E+01  0.1636E+00  0.9410E-02
  0.6058E+01  0.1593E+00  0.9767E-02
  0.6097E+01  0.1554E+00  0.1005E-01
  0.6136E+01  0.1520E+00  0.1025E-01
  0.6175E+01  0.1489E+00  0.1035E-01
  0.6214E+01  0.1463E+00  0.1036E-01
  0.6253E+01  0.1441E+00  0.1027E-01
  0.6291E+01  0.1423E+00  0.1008E-01
  0.6330E+01  0.1408E+00  0.9806E-02
  0.6369E+01  0.1397E+00  0.9458E-02
  0.6408E+01  0.1390E+00  0.9058E-02
  0.6447E+01  0.1385E+00  0.8635E-02
  0.6486E+01  0.1382E+00  0.8227E-02
  0.6524E+01  0.1381E+00  0.7883E-02
  0.6563E+01  0.1381E+00  0.7654E-02
  0.6602E+01  0.1382E+00  0.7592E-02
  0.6641E+01  0.1382E+00  0.7729E-02
  0.6680E+01  0.1382E+00  0.8073E-02
  0.6719E+01  0.1380E+00  0.8600E-02
  0.6757E+01  0.1374E+00  0.9266E-02
  0.6796E+01  0.1365E+00  0.1002E-01
  0.6835E+01  0.1351E+00  0.1079E-01
  0.6874E+01  0.1330E+00  0.1154E-01
  0.6913E+01  0.1302E+00  0.1221E-01
  0.6952E+01  0.1264E+00  0.1274E-01
