#      R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.4381E-01  0.1426E-01  0.2810E-03
  0.8762E-01  0.2942E-01  0.5184E-03
  0.1314E+00  0.4548E-01  0.7131E-03
  0.1752E+00  0.6241E-01  0.8663E-03
  0.2190E+00  0.8020E-01  0.9795E-03
  0.2629E+00  0.9882E-01  0.1055E-02
  0.3067E+00  0.1182E+00  0.1095E-02
  0.3505E+00  0.1384E+00  0.1103E-02
  0.3943E+00  0.1593E+00  0.1081E-02
  0.4381E+00  0.1809E+00  0.1036E-02
  0.4819E+00  0.2031E+00  0.9705E-03
  0.5257E+00  0.2259E+00  0.8919E-03
  0.5695E+00  0.2492E+00  0.8081E-03
  0.6133E+00  0.2729E+00  0.7300E-03
  0.6571E+00  0.2970E+00  0.6713E-03
  0.7010E+00  0.3214E+00  0.6469E-03
  0.7448E+00  0.3460E+00  0.6668E-03
  0.7886E+00  0.3708E+00  0.7295E-03
  0.8324E+00  0.3957E+00  0.8246E-03
  0.8762E+00  0.4206E+00  0.9393E-03
  0.9200E+00  0.4454E+00  0.1063E-02
  0.9638E+00  0.4701E+00  0.1188E-02
  0.1008E+01  0.4945E+00  0.1308E-02
  0.1051E+01  0.5187E+00  0.1419E-02
  0.1095E+01  0.5425E+00  0.1518E-02
  0.1139E+01  0.5658E+00  0.1602E-02
  0.1183E+01  0.5886E+00  0.1671E-02
  0.1227E+01  0.6109E+00  0.1724E-02
  0.1270E+01  0.6324E+00  0.1759E-02
  0.1314E+01  0.6533E+00  0.1778E-02
  0.1358E+01  0.6734E+00  0.1782E-02
  0.1402E+01  0.6926E+00  0.1771E-02
  0.1446E+01  0.7110E+00  0.1749E-02
  0.1490E+01  0.7284E+00  0.1716E-02
  0.1533E+01  0.7448E+00  0.1678E-02
  0.1577E+01  0.7602E+00  0.1637E-02
  0.1621E+01  0.7746E+00  0.1598E-02
  0.1665E+01  0.7879E+00  0.1566E-02
  0.1709E+01  0.8001E+00  0.1544E-02
  0.1752E+01  0.8111E+00  0.1536E-02
  0.1796E+01  0.8210E+00  0.1545E-02
  0.1840E+01  0.8298E+00  0.1572E-02
  0.1884E+01  0.8374E+00  0.1616E-02
  0.1928E+01  0.8438E+00  0.1675E-02
  0.1971E+01  0.8492E+00  0.1745E-02
  0.2015E+01  0.8533E+00  0.1824E-02
