#      R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.3471E-01  0.9579E-02  0.2639E-03
  0.6942E-01  0.1985E-01  0.4956E-03
  0.1041E+00  0.3080E-01  0.6955E-03
  0.1388E+00  0.4243E-01  0.8642E-03
  0.1735E+00  0.5474E-01  0.1002E-02
  0.2083E+00  0.6770E-01  0.1111E-02
  0.2430E+00  0.8131E-01  0.1192E-02
  0.2777E+00  0.9556E-01  0.1247E-02
  0.3124E+00  0.1104E+00  0.1276E-02
  0.3471E+00  0.1259E+00  0.1283E-02
  0.3818E+00  0.1419E+00  0.1269E-02
  0.4165E+00  0.1585E+00  0.1237E-02
  0.4512E+00  0.1756E+00  0.1190E-02
  0.4859E+00  0.1932E+00  0.1132E-02
  0.5206E+00  0.2112E+00  0.1066E-02
  0.5553E+00  0.2298E+00  0.9969E-03
  0.5901E+00  0.2487E+00  0.9311E-03
  0.6248E+00  0.2679E+00  0.8752E-03
  0.6595E+00  0.2875E+00  0.8365E-03
  0.6942E+00  0.3075E+00  0.8214E-03
  0.7289E+00  0.3276E+00  0.8337E-03
  0.7636E+00  0.3480E+00  0.8733E-03
  0.7983E+00  0.3686E+00  0.9363E-03
  0.8330E+00  0.3893E+00  0.1017E-02
  0.8677E+00  0.4101E+00  0.1109E-02
  0.9024E+00  0.4309E+00  0.1206E-02
  0.9371E+00  0.4518E+00  0.1305E-02
  0.9719E+00  0.4726E+00  0.1402E-02
  0.1007E+01  0.4933E+00  0.1493E-02
  0.1041E+01  0.5140E+00  0.1577E-02
  0.1076E+01  0.5344E+00  0.1652E-02
  0.1111E+01  0.5547E+00  0.1716E-02
  0.1145E+01  0.5747E+00  0.1768E-02
  0.1180E+01  0.5944E+00  0.1809E-02
  0.1215E+01  0.6138E+00  0.1836E-02
  0.1250E+01  0.6328E+00  0.1852E-02
  0.1284E+01  0.6514E+00  0.1855E-02
  0.1319E+01  0.6696E+00  0.1846E-02
  0.1354E+01  0.6872E+00  0.1826E-02
  0.1388E+01  0.7044E+00  0.1797E-02
  0.1423E+01  0.7210E+00  0.1760E-02
  0.1458E+01  0.7370E+00  0.1716E-02
  0.1492E+01  0.7523E+00  0.1668E-02
  0.1527E+01  0.7671E+00  0.1618E-02
  0.1562E+01  0.7811E+00  0.1570E-02
  0.1597E+01  0.7945E+00  0.1525E-02
  0.1631E+01  0.8072E+00  0.1489E-02
  0.1666E+01  0.8191E+00  0.1463E-02
  0.1701E+01  0.8302E+00  0.1450E-02
  0.1735E+01  0.8406E+00  0.1452E-02
  0.1770E+01  0.8502E+00  0.1470E-02
  0.1805E+01  0.8590E+00  0.1505E-02
  0.1840E+01  0.8670E+00  0.1553E-02
  0.1874E+01  0.8742E+00  0.1614E-02
  0.1909E+01  0.8806E+00  0.1684E-02
  0.1944E+01  0.8862E+00  0.1761E-02
  0.1978E+01  0.8910E+00  0.1842E-02
  0.2013E+01  0.8950E+00  0.1925E-02
  0.2048E+01  0.8982E+00  0.2006E-02
  0.2083E+01  0.9006E+00  0.2085E-02
  0.2117E+01  0.9022E+00  0.2159E-02
  0.2152E+01  0.9031E+00  0.2227E-02
  0.2187E+01  0.9032E+00  0.2287E-02
  0.2221E+01  0.9026E+00  0.2340E-02
  0.2256E+01  0.9013E+00  0.2384E-02
  0.2291E+01  0.8993E+00  0.2419E-02
  0.2326E+01  0.8967E+00  0.2445E-02
  0.2360E+01  0.8934E+00  0.2462E-02
  0.2395E+01  0.8895E+00  0.2471E-02
  0.2430E+01  0.8851E+00  0.2471E-02
  0.2464E+01  0.8800E+00  0.2465E-02
  0.2499E+01  0.8745E+00  0.2453E-02
  0.2534E+01  0.8685E+00  0.2436E-02
  0.2568E+01  0.8620E+00  0.2415E-02
  0.2603E+01  0.8551E+00  0.2393E-02
  0.2638E+01  0.8478E+00  0.2371E-02
  0.2673E+01  0.8401E+00  0.2350E-02
  0.2707E+01  0.8321E+00  0.2332E-02
  0.2742E+01  0.8238E+00  0.2318E-02
  0.2777E+01  0.8153E+00  0.2311E-02
  0.2811E+01  0.8065E+00  0.2310E-02
  0.2846E+01  0.7974E+00  0.2317E-02
  0.2881E+01  0.7882E+00  0.2331E-02
  0.2916E+01  0.7789E+00  0.2354E-02
  0.2950E+01  0.7694E+00  0.2383E-02
  0.2985E+01  0.7598E+00  0.2419E-02
  0.3020E+01  0.7502E+00  0.2460E-02
  0.3054E+01  0.7405E+00  0.2506E-02
  0.3089E+01  0.7308E+00  0.2554E-02
  0.3124E+01  0.7211E+00  0.2603E-02
  0.3159E+01  0.7113E+00  0.2652E-02
  0.3193E+01  0.7017E+00  0.2700E-02
  0.3228E+01  0.6920E+00  0.2745E-02
  0.3263E+01  0.6825E+00  0.2787E-02
  0.3297E+01  0.6730E+00  0.2825E-02
  0.3332E+01  0.6636E+00  0.2857E-02
  0.3367E+01  0.6543E+00  0.2884E-02
  0.3401E+01  0.6450E+00  0.2906E-02
  0.3436E+01  0.6359E+00  0.2921E-02
  0.3471E+01  0.6270E+00  0.2931E-02
  0.3506E+01  0.6181E+00  0.2936E-02
  0.3540E+01  0.6094E+00  0.2935E-02
  0.3575E+01  0.6007E+00  0.2931E-02
  0.3610E+01  0.5922E+00  0.2922E-02
  0.3644E+01  0.5838E+00  0.2911E-02
  0.3679E+01  0.5756E+00  0.2899E-02
  0.3714E+01  0.5674E+00  0.2886E-02
  0.3749E+01  0.5594E+00  0.2873E-02
  0.3783E+01  0.5514E+00  0.2862E-02
  0.3818E+01  0.5436E+00  0.2853E-02
  0.3853E+01  0.5358E+00  0.2847E-02
  0.3887E+01  0.5282E+00  0.2845E-02
  0.3922E+01  0.5206E+00  0.2848E-02
  0.3957E+01  0.5130E+00  0.2856E-02
  0.3992E+01  0.5056E+00  0.2868E-02
  0.4026E+01  0.4981E+00  0.2886E-02
  0.4061E+01  0.4908E+00  0.2908E-02
  0.4096E+01  0.4835E+00  0.2934E-02
  0.4130E+01  0.4762E+00  0.2964E-02
  0.4165E+01  0.4689E+00  0.2996E-02
  0.4200E+01  0.4617E+00  0.3031E-02
  0.4234E+01  0.4545E+00  0.3066E-02
  0.4269E+01  0.4473E+00  0.3103E-02
  0.4304E+01  0.4401E+00  0.3139E-02
  0.4339E+01  0.4329E+00  0.3174E-02
  0.4373E+01  0.4257E+00  0.3207E-02
  0.4408E+01  0.4186E+00  0.3239E-02
  0.4443E+01  0.4114E+00  0.3269E-02
  0.4477E+01  0.4043E+00  0.3296E-02
  0.4512E+01  0.3972E+00  0.3321E-02
  0.4547E+01  0.3900E+00  0.3344E-02
  0.4582E+01  0.3829E+00  0.3364E-02
  0.4616E+01  0.3758E+00  0.3383E-02
  0.4651E+01  0.3688E+00  0.3400E-02
  0.4686E+01  0.3618E+00  0.3417E-02
  0.4720E+01  0.3548E+00  0.3433E-02
  0.4755E+01  0.3478E+00  0.3450E-02
  0.4790E+01  0.3409E+00  0.3467E-02
  0.4825E+01  0.3341E+00  0.3486E-02
  0.4859E+01  0.3273E+00  0.3507E-02
  0.4894E+01  0.3206E+00  0.3530E-02
  0.4929E+01  0.3140E+00  0.3556E-02
  0.4963E+01  0.3074E+00  0.3584E-02
  0.4998E+01  0.3010E+00  0.3616E-02
  0.5033E+01  0.2946E+00  0.3651E-02
  0.5068E+01  0.2884E+00  0.3690E-02
  0.5102E+01  0.2822E+00  0.3731E-02
  0.5137E+01  0.2762E+00  0.3775E-02
  0.5172E+01  0.2703E+00  0.3821E-02
  0.5206E+01  0.2645E+00  0.3869E-02
  0.5241E+01  0.2588E+00  0.3919E-02
  0.5276E+01  0.2533E+00  0.3970E-02
  0.5310E+01  0.2478E+00  0.4022E-02
  0.5345E+01  0.2425E+00  0.4074E-02
  0.5380E+01  0.2373E+00  0.4126E-02
  0.5415E+01  0.2322E+00  0.4178E-02
  0.5449E+01  0.2273E+00  0.4228E-02
  0.5484E+01  0.2224E+00  0.4278E-02
  0.5519E+01  0.2175E+00  0.4325E-02
  0.5553E+01  0.2128E+00  0.4371E-02
  0.5588E+01  0.2081E+00  0.4414E-02
  0.5623E+01  0.2035E+00  0.4454E-02
  0.5658E+01  0.1988E+00  0.4491E-02
  0.5692E+01  0.1942E+00  0.4524E-02
  0.5727E+01  0.1896E+00  0.4552E-02
  0.5762E+01  0.1849E+00  0.4575E-02
  0.5796E+01  0.1802E+00  0.4592E-02
  0.5831E+01  0.1754E+00  0.4602E-02
  0.5866E+01  0.1705E+00  0.4604E-02
  0.5901E+01  0.1654E+00  0.4596E-02
  0.5935E+01  0.1602E+00  0.4577E-02
  0.5970E+01  0.1547E+00  0.4545E-02
  0.6005E+01  0.1491E+00  0.4499E-02
  0.6039E+01  0.1431E+00  0.4437E-02
  0.6074E+01  0.1369E+00  0.4356E-02
  0.6109E+01  0.1304E+00  0.4256E-02
  0.6143E+01  0.1235E+00  0.4132E-02
  0.6178E+01  0.1162E+00  0.3984E-02
  0.6213E+01  0.1084E+00  0.3808E-02
  0.6248E+01  0.1002E+00  0.3602E-02
