# Fitted chi: 0.202287 +- 0.00457097
# Scaling factor for file 1: 1.05303 +- 0.00108969
# Scaling factor for file 2: -0.135084 +- 0.0596584
# Scaling factor for file 3: -0.341965 +- 0.117696
# Scaling factor for file 4: 0.434304 +- 0.0866068

@type xydy
0.3011719 61.943496 0.172262839838
0.3059148 61.978848 0.170941466269
0.3106577 61.472644 0.168899849069
0.3154005 61.282117 0.167339064186
0.3201434 61.234577 0.166012098319
0.3248863 60.716191 0.164072631201
0.3296291 60.719802 0.162860096704
0.334372 60.781013 0.161757969811
0.3391149 60.612735 0.162067789663
0.3438577 60.300831 0.163739238693
0.3486006 60.043453 0.167548686546
0.3533435 59.884532 0.170396184843
0.3580863 59.548558 0.17202978456
0.3628292 59.10487 0.173078038913
0.367572 58.989658 0.174332435675
0.3723149 58.69681 0.17517905474
0.3770578 58.347954 0.175826526521
0.3818006 58.209011 0.176553988189
0.3865435 58.112139 0.177277385525
0.3912864 58.011882 0.177834660152
0.3960292 57.899795 0.178392849205
0.4007721 57.713322 0.178866608192
0.405515 57.369507 0.184479428531
0.4102578 57.288508 0.189156420025
0.4150007 57.282704 0.193288576506
0.4197436 57.097011 0.195947247854
0.4244864 56.780081 0.198566612097
0.4292293 55.978784 0.200172514896
0.4339722 56.022627 0.20331703721
0.438715 56.002309 0.20624580315
0.4434579 55.471851 0.208282141724
0.4482008 55.478326 0.211811279035
0.4529436 55.247064 0.214814341187
0.4576865 55.254769 0.217072790542
0.4624294 54.763313 0.217905495724
0.4671722 54.766987 0.216836306096
0.4719151 55.090176 0.208915355779
0.4766579 54.340152 0.203581785488
0.4814008 54.021021 0.200404601332
0.4861437 53.847211 0.198112451515
0.4908865 53.86 0.196520458756
0.4956294 53.646627 0.194750498405
0.5003723 53.349208 0.192988661024
0.5051151 53.104128 0.191452351111
0.509858 52.843004 0.189988183009
0.5146009 52.541738 0.188531149814
0.5193437 52.660348 0.187880251848
0.5240866 52.296689 0.186423912159
0.5288295 51.999874 0.185133024148
0.5335723 51.657478 0.183437658091
0.5383152 51.781039 0.182331601558
0.5430581 51.073936 0.179820971774
0.5478009 51.027939 0.178527867222
0.5525438 50.836221 0.17702542332
0.5572867 50.806677 0.175839402629
0.5620295 50.653264 0.174478903741
0.5667724 50.155828 0.172564924173
0.5715152 50.026052 0.171318558761
0.5762581 49.988772 0.170254329132
0.581001 49.837484 0.169070649594
0.5857438 49.443983 0.167898325117
0.5904867 49.269833 0.167199548766
0.5952296 49.112495 0.166529405993
0.5999724 48.714338 0.165631599426
0.6047153 48.503919 0.164855645565
0.6094582 48.530269 0.1643716295
0.614201 48.244598 0.163656645848
0.6189439 47.98148 0.162679734966
0.6236868 47.84605 0.16207517832
0.6284296 47.663093 0.161397020975
0.6331725 47.396162 0.160576385002
0.6379154 47.217305 0.159909507838
0.6426582 47.058647 0.159282549775
0.6474011 46.849895 0.158575246713
0.652144 46.652638 0.157886696167
0.6568868 46.6041 0.157454055235
0.6616297 46.384375 0.15673725248
0.6663726 46.168778 0.156031385801
0.6711154 46.129336 0.155622459654
0.6758583 45.563337 0.154327746905
0.6806011 45.604555 0.154064262954
0.685344 45.492446 0.153545473927
0.6900869 45.47778 0.153190270361
0.6948297 45.019502 0.152090102467
0.6995726 45.009526 0.151750794108
0.7043155 44.971939 0.151368289714
0.7090583 44.360891 0.150018442957
0.7138012 44.37856 0.149732291853
0.7185441 44.376106 0.149416132448
0.7232869 44.000411 0.148474466814
0.7280298 43.990511 0.148149254376
0.7327727 43.755407 0.147446568568
0.7375155 43.535269 0.146773787375
0.7422584 43.430891 0.146299070425
0.7470013 43.153766 0.145533605698
0.7517441 42.948529 0.144890858735
0.756487 42.931517 0.14456992777
0.7612299 42.725241 0.143932997426
0.7659727 42.535845 0.143324871597
0.7707156 42.372238 0.142761618546
0.7754585 42.168999 0.142136479644
0.7802013 42.041062 0.141780239494
0.7849442 41.981332 0.141350160063
0.789687 41.857978 0.140772096003
0.7944299 41.764201 0.140339343849
0.7991728 41.507688 0.139635550625
0.8039156 41.37719 0.139144254648
0.8086585 41.243117 0.13864776411
0.8134014 41.18187 0.138277546398
0.8181442 40.611456 0.137156866312
0.8228871 40.595999 0.136769824558
0.82763 40.559877 0.136440810971
0.8323728 40.301464 0.135746745505
0.8371157 40.208776 0.135334779638
0.8418586 40.220023 0.13509762675
0.8466014 40.113374 0.134662661862
0.8513443 39.811412 0.133903616626
0.8560872 39.701649 0.133469941677
0.86083 39.563577 0.132989336213
0.8655729 39.611754 0.132821831066
0.8703158 39.432711 0.132276546142
0.8750586 39.312734 0.131832479329
0.8798015 39.131373 0.131286600081
0.8845443 38.909604 0.130673106996
0.8892872 38.977641 0.130548672574
0.8940301 38.734261 0.129904967807
0.8987729 38.473295 0.129232225069
0.9035158 38.33499 0.128765315536
0.9082587 38.262406 0.128412367028
0.9130015 38.033022 0.127798115148
0.9177444 38.013083 0.127536610116
0.9224873 37.614958 0.126639723129
0.9272301 38.012718 0.127081792309
0.931973 37.663504 0.126273716208
0.9367159 37.488863 0.125758901297
0.9414587 37.30005 0.125220084564
0.9462016 37.100487 0.124666000884
0.9509445 36.925281 0.124155220595
0.9556873 36.994222 0.124055193596
0.9604302 36.83342 0.123569423508
0.9651731 36.765408 0.123242126323
0.9699159 36.600115 0.122753763375
0.9746588 36.50883 0.122390525553
0.9794017 36.553051 0.122253801904
0.9841445 36.374839 0.121747521631
0.9888874 36.414332 0.121607434944
0.9936302 36.28254 0.121181968033
0.9983731 36.166491 0.120782444267
1.003116 35.767316 0.119911931763
1.007859 35.918942 0.119964993257
1.012602 35.66106 0.119334134883
1.017345 35.514995 0.118889636509
1.022087 35.618116 0.118864418519
1.02683 35.47792 0.118434549703
1.031573 35.198903 0.117773411543
1.036316 34.952045 0.117165455174
1.041059 35.204287 0.117394657116
1.045802 35.040254 0.116929849892
1.050545 34.811293 0.116357692464
1.055287 34.812232 0.116168750164
1.06003 34.758795 0.115891738248
1.064773 34.63383 0.1154969169
1.069516 34.530412 0.115139192239
1.074259 34.268713 0.114516848582
1.079002 34.274269 0.114342864042
1.083745 34.18758 0.114041160903
1.088488 34.348092 0.11415254935
1.09323 34.102145 0.113512171124
1.097973 33.895211 0.112988301818
1.102716 33.94237 0.112889408857
1.107459 34.010284 0.112825212912
1.112202 33.821731 0.112334730185
1.116945 33.768386 0.11207090212
1.121688 33.600015 0.11161759443
1.12643 33.512 0.111298758407
1.131173 33.366883 0.110884693771
1.135916 33.363604 0.110708097852
1.140659 33.325518 0.110475284111
1.145402 33.325955 0.11030700295
1.150145 33.322756 0.110132127313
1.154888 33.0792 0.109561529864
1.159631 32.981224 0.109233360489
1.164373 32.982781 0.109071205675
1.169116 32.725475 0.108561105854
1.173859 32.724511 0.108366595261
1.178602 32.765461 0.108219652877
1.183345 32.625681 0.107827356454
1.188088 32.586867 0.107601420998
1.192831 32.530691 0.107348268562
1.197573 32.408828 0.106988333359
1.202316 32.318952 0.106682303074
1.207059 32.560029 0.107267287069
1.211802 32.326027 0.110380959784
1.216545 32.211911 0.112479468447
1.221288 31.935901 0.113680153922
1.226031 32.017605 0.115250581435
1.230774 31.843234 0.116203534424
1.235516 31.932837 0.117531023483
1.240259 31.897023 0.118552422947
1.245002 31.873547 0.119535398866
1.249745 31.626493 0.120047892293
1.254488 31.457223 0.120662663741
1.259231 31.581832 0.12151724326
1.263974 31.479231 0.121631596525
1.268716 31.497983 0.121962826688
1.273459 31.56547 0.120092733676
1.278202 31.558433 0.115641506591
1.282945 31.440865 0.113224273991
1.287688 31.324203 0.111422483252
1.292431 31.0781 0.109702087916
1.297174 31.331248 0.109051091831
1.301916 31.118935 0.107717848027
1.306659 31.233348 0.107048769785
1.311402 30.982186 0.105830318115
1.316145 30.937963 0.105028661735
1.320888 30.942142 0.104512783496
1.325631 30.716553 0.103862930221
1.330374 30.557255 0.103340583958
1.335117 30.762361 0.103444486609
1.339859 30.840408 0.103340544253
1.344602 30.623986 0.102751657363
1.349345 30.558173 0.102423457837
1.354088 30.58212 0.102252127728
1.358831 30.613509 0.102097644122
1.363574 30.326972 0.101418007057
1.368317 30.367774 0.101290552088
1.373059 30.392836 0.101141260272
1.377802 30.478264 0.10109435227
1.382545 30.291167 0.10059887954
1.387288 30.306726 0.100444191127
1.392031 30.263649 0.100195346475
1.396774 30.272879 0.1000350477
1.401517 30.249065 0.099823047944
1.40626 30.155119 0.0994985155734
1.411002 29.949481 0.0989924077596
1.415745 29.958605 0.098842129788
1.420488 29.95328 0.0986706257453
1.425231 29.826042 0.0983006056913
1.429974 29.876481 0.098225540245
1.434717 29.704114 0.0977849190479
1.43946 29.817433 0.0978159455532
1.444202 29.776146 0.097594849926
1.448945 29.717256 0.0973470274605
1.453688 29.603395 0.0970099691446
1.458431 29.537907 0.096753697638
1.463174 29.486034 0.096547374197
1.467917 29.407853 0.0962760847809
