# Fitted chi: 0.222008 +- 0.00542784
# Scaling factor for file 1: 1.18371 +- 0.0012482
# Scaling factor for file 2: -0.248093 +- 0.0649814
# Scaling factor for file 3: -1.5979 +- 0.0920239
# Scaling factor for file 4: 1.7154 +- 0.0651798

@type xydy
0.3011719 65.831722 0.177371290966
0.3059148 65.772201 0.175880884307
0.3106577 65.502918 0.17413675941
0.3154005 65.232218 0.172438186898
0.3201434 64.986303 0.170814269691
0.3248863 64.571257 0.168995594452
0.3296291 64.286348 0.167371244022
0.334372 64.299104 0.166171335485
0.3391149 64.039589 0.166383712297
0.3438577 63.840705 0.168271968947
0.3486006 63.608842 0.172241894982
0.3533435 63.339069 0.175029073312
0.3580863 62.825029 0.176484354323
0.3628292 62.59859 0.177903456643
0.367572 62.654553 0.179447874464
0.3723149 62.294764 0.180248895112
0.3770578 61.904434 0.180885724801
0.3818006 61.52681 0.181295298914
0.3865435 61.531223 0.182196313727
0.3912864 61.500366 0.182881022087
0.3960292 61.353436 0.183413008932
0.4007721 61.054441 0.183747569374
0.405515 61.005118 0.190003874892
0.4102578 60.335991 0.19388639053
0.4150007 60.124768 0.197784810936
0.4197436 59.846355 0.20036555019
0.4244864 59.429838 0.202900164262
0.4292293 59.364573 0.205886704168
0.4339722 59.03553 0.208458919398
0.438715 58.751263 0.210990289818
0.4434579 58.505942 0.213642466654
0.4482008 58.442253 0.217131551621
0.4529436 58.035102 0.219900368371
0.4576865 57.833577 0.221810661313
0.4624294 57.767734 0.223531017013
0.4671722 57.717847 0.222330696402
0.4719151 57.752256 0.213643480739
0.4766579 57.411328 0.209001313571
0.4814008 57.257888 0.20607052072
0.4861437 56.941885 0.203478174669
0.4908865 56.537969 0.201102048546
0.4956294 56.263494 0.199201512632
0.5003723 55.678598 0.196917254129
0.5051151 55.655152 0.195758699123
0.509858 55.36694 0.19423610834
0.5146009 55.301279 0.193183617025
0.5193437 55.124076 0.191991480922
0.5240866 54.461549 0.190012169525
0.5288295 54.399062 0.18912560804
0.5335723 53.890549 0.187132797059
0.5383152 53.56504 0.185220521281
0.5430581 53.526544 0.183864192374
0.5478009 53.254011 0.182158774535
0.5525438 53.206297 0.18088492074
0.5572867 53.026776 0.179421819719
0.5620295 52.658656 0.177682987877
0.5667724 52.367572 0.1761144381
0.5715152 52.031698 0.17450669537
0.5762581 52.081811 0.17357083864
0.581001 52.004571 0.172497502063
0.5857438 51.5696 0.171260966375
0.5904867 51.363406 0.170507396575
0.5952296 51.090804 0.169643865989
0.5999724 50.76368 0.168874191685
0.6047153 50.345839 0.167752548924
0.6094582 50.337245 0.167200328736
0.614201 50.094246 0.166561738404
0.6189439 49.850981 0.165617174712
0.6236868 49.798563 0.165148148392
0.6284296 49.424172 0.164151888597
0.6331725 49.431534 0.16378871997
0.6379154 49.053631 0.162791241777
0.6426582 48.678375 0.161803610741
0.6474011 48.662586 0.161417446261
0.652144 48.504121 0.160793596124
0.6568868 48.300521 0.160099362323
0.6616297 47.886554 0.159061487345
0.6663726 47.928903 0.158784568172
0.6711154 47.477155 0.15768775116
0.6758583 47.301162 0.157052203292
0.6806011 47.119621 0.156412158853
0.685344 46.882239 0.155683773771
0.6900869 46.625575 0.154922893907
0.6948297 46.690499 0.154698650357
0.6995726 46.618383 0.154251440825
0.7043155 46.353995 0.153489746681
0.7090583 45.963908 0.152519247444
0.7138012 45.730103 0.151810440511
0.7185441 45.513381 0.151134745759
0.7232869 45.490455 0.150784093636
0.7280298 45.372169 0.150274926629
0.7327727 45.054689 0.149437832927
0.7375155 44.85968 0.148808495288
0.7422584 44.82511 0.148448123382
0.7470013 44.46449 0.147547706044
0.7517441 44.117907 0.146671606176
0.756487 44.157851 0.146441956406
0.7612299 43.960736 0.145821811402
0.7659727 43.713414 0.145118688074
0.7707156 43.492556 0.144460741767
0.7754585 43.354502 0.143945417245
0.7802013 43.014272 0.143237562392
0.7849442 43.125601 0.143089418106
0.789687 42.884789 0.142315142764
0.7944299 42.838636 0.141960264305
0.7991728 42.444466 0.141030856159
0.8039156 42.349329 0.140598253414
0.8086585 42.413791 0.140430837733
0.8134014 41.970724 0.139426006661
0.8181442 41.55094 0.138565626062
0.8228871 41.647496 0.138361373865
0.82763 41.495346 0.137837574108
0.8323728 41.197984 0.137081468426
0.8371157 41.393699 0.137147471991
0.8418586 41.137662 0.13646398666
0.8466014 40.948434 0.135891688334
0.8513443 40.818269 0.13542152739
0.8560872 40.536549 0.134702143293
0.86083 40.368092 0.134171414441
0.8655729 40.201527 0.133644316843
0.8703158 40.174974 0.133353355898
0.8750586 40.01752 0.132847249354
0.8798015 39.629274 0.131958546704
0.8845443 39.651275 0.131752273096
0.8892872 39.40055 0.131095449007
0.8940301 39.275691 0.130650722091
0.8987729 39.242735 0.130359490626
0.9035158 39.198472 0.130049130541
0.9082587 38.833167 0.12920931937
0.9130015 38.838617 0.128987497114
0.9177444 38.896046 0.128852481326
0.9224873 38.845395 0.128537875186
0.9272301 38.527619 0.127784035692
0.931973 38.210583 0.127032889705
0.9367159 38.034898 0.126517482607
0.9414587 38.017531 0.126265055186
0.9462016 37.971095 0.125966966523
0.9509445 37.723483 0.1253374509
0.9556873 37.72724 0.125125930995
0.9604302 37.443498 0.124437096734
