#       R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.8188E-01  0.2865E-01  0.6416E-03
  0.1638E+00  0.6230E-01  0.1072E-02
  0.2456E+00  0.1008E+00  0.1303E-02
  0.3275E+00  0.1440E+00  0.1358E-02
  0.4094E+00  0.1916E+00  0.1268E-02
  0.4913E+00  0.2432E+00  0.1075E-02
  0.5732E+00  0.2984E+00  0.8519E-03
  0.6550E+00  0.3566E+00  0.7233E-03
  0.7369E+00  0.4173E+00  0.8219E-03
  0.8188E+00  0.4799E+00  0.1094E-02
  0.9007E+00  0.5437E+00  0.1413E-02
  0.9826E+00  0.6081E+00  0.1703E-02
  0.1064E+01  0.6724E+00  0.1927E-02
  0.1146E+01  0.7358E+00  0.2064E-02
  0.1228E+01  0.7977E+00  0.2105E-02
  0.1310E+01  0.8574E+00  0.2052E-02
  0.1392E+01  0.9142E+00  0.1915E-02
  0.1474E+01  0.9676E+00  0.1722E-02
  0.1556E+01  0.1017E+01  0.1511E-02
  0.1638E+01  0.1062E+01  0.1345E-02
  0.1719E+01  0.1102E+01  0.1295E-02
  0.1801E+01  0.1136E+01  0.1392E-02
  0.1883E+01  0.1166E+01  0.1601E-02
  0.1965E+01  0.1189E+01  0.1854E-02
  0.2047E+01  0.1207E+01  0.2097E-02
  0.2129E+01  0.1219E+01  0.2293E-02
  0.2211E+01  0.1226E+01  0.2422E-02
  0.2293E+01  0.1227E+01  0.2476E-02
  0.2375E+01  0.1223E+01  0.2457E-02
  0.2456E+01  0.1214E+01  0.2376E-02
  0.2538E+01  0.1201E+01  0.2258E-02
  0.2620E+01  0.1184E+01  0.2133E-02
  0.2702E+01  0.1164E+01  0.2042E-02
  0.2784E+01  0.1141E+01  0.2019E-02
  0.2866E+01  0.1115E+01  0.2081E-02
  0.2948E+01  0.1087E+01  0.2215E-02
  0.3030E+01  0.1058E+01  0.2391E-02
  0.3111E+01  0.1027E+01  0.2573E-02
  0.3193E+01  0.9963E+00  0.2731E-02
  0.3275E+01  0.9650E+00  0.2846E-02
  0.3357E+01  0.9338E+00  0.2907E-02
  0.3439E+01  0.9030E+00  0.2913E-02
  0.3521E+01  0.8726E+00  0.2872E-02
  0.3603E+01  0.8430E+00  0.2803E-02
  0.3685E+01  0.8141E+00  0.2727E-02
  0.3766E+01  0.7861E+00  0.2672E-02
  0.3848E+01  0.7589E+00  0.2660E-02
  0.3930E+01  0.7326E+00  0.2704E-02
  0.4012E+01  0.7069E+00  0.2801E-02
  0.4094E+01  0.6820E+00  0.2936E-02
  0.4176E+01  0.6576E+00  0.3087E-02
  0.4258E+01  0.6337E+00  0.3236E-02
  0.4340E+01  0.6101E+00  0.3367E-02
  0.4422E+01  0.5868E+00  0.3472E-02
  0.4503E+01  0.5638E+00  0.3550E-02
  0.4585E+01  0.5409E+00  0.3608E-02
  0.4667E+01  0.5181E+00  0.3657E-02
  0.4749E+01  0.4954E+00  0.3708E-02
  0.4831E+01  0.4728E+00  0.3772E-02
  0.4913E+01  0.4504E+00  0.3854E-02
  0.4995E+01  0.4283E+00  0.3951E-02
  0.5077E+01  0.4064E+00  0.4055E-02
  0.5158E+01  0.3849E+00  0.4153E-02
  0.5240E+01  0.3639E+00  0.4228E-02
  0.5322E+01  0.3435E+00  0.4269E-02
  0.5404E+01  0.3237E+00  0.4267E-02
  0.5486E+01  0.3047E+00  0.4219E-02
  0.5568E+01  0.2866E+00  0.4132E-02
  0.5650E+01  0.2694E+00  0.4019E-02
  0.5732E+01  0.2532E+00  0.3902E-02
  0.5813E+01  0.2379E+00  0.3809E-02
  0.5895E+01  0.2237E+00  0.3768E-02
  0.5977E+01  0.2105E+00  0.3797E-02
  0.6059E+01  0.1983E+00  0.3903E-02
  0.6141E+01  0.1870E+00  0.4075E-02
  0.6223E+01  0.1767E+00  0.4290E-02
  0.6305E+01  0.1671E+00  0.4520E-02
  0.6387E+01  0.1583E+00  0.4738E-02
  0.6469E+01  0.1502E+00  0.4924E-02
  0.6550E+01  0.1426E+00  0.5064E-02
  0.6632E+01  0.1356E+00  0.5153E-02
  0.6714E+01  0.1289E+00  0.5196E-02
  0.6796E+01  0.1226E+00  0.5204E-02
  0.6878E+01  0.1166E+00  0.5197E-02
  0.6960E+01  0.1107E+00  0.5195E-02
  0.7042E+01  0.1050E+00  0.5221E-02
  0.7124E+01  0.9929E-01  0.5287E-02
  0.7205E+01  0.9362E-01  0.5400E-02
  0.7287E+01  0.8789E-01  0.5549E-02
  0.7369E+01  0.8204E-01  0.5712E-02
  0.7451E+01  0.7602E-01  0.5859E-02
  0.7533E+01  0.6974E-01  0.5952E-02
  0.7615E+01  0.6314E-01  0.5951E-02
  0.7697E+01  0.5614E-01  0.5817E-02
  0.7779E+01  0.4864E-01  0.5508E-02
  0.7860E+01  0.4054E-01  0.4986E-02
  0.7942E+01  0.3174E-01  0.4211E-02
  0.8024E+01  0.2213E-01  0.3146E-02
  0.8106E+01  0.1159E-01  0.1753E-02
  0.8188E+01  0.0000E+00  0.0000E+00
#          Reciprocal space: Rg =    2.41     , I(0) =   0.5517E+02
#     Real space: Rg =    2.42 +- 0.007  I(0) =   0.5518E+02 +-  0.9896E-01
