#       R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.8065E-01  0.2518E-01  0.6883E-03
  0.1613E+00  0.5528E-01  0.1151E-02
  0.2419E+00  0.9019E-01  0.1400E-02
  0.3226E+00  0.1297E+00  0.1458E-02
  0.4032E+00  0.1735E+00  0.1354E-02
  0.4839E+00  0.2214E+00  0.1127E-02
  0.5645E+00  0.2727E+00  0.8420E-03
  0.6452E+00  0.3272E+00  0.6298E-03
  0.7258E+00  0.3841E+00  0.7054E-03
  0.8065E+00  0.4430E+00  0.1025E-02
  0.8871E+00  0.5033E+00  0.1403E-02
  0.9678E+00  0.5643E+00  0.1750E-02
  0.1048E+01  0.6252E+00  0.2027E-02
  0.1129E+01  0.6856E+00  0.2211E-02
  0.1210E+01  0.7446E+00  0.2290E-02
  0.1290E+01  0.8016E+00  0.2262E-02
  0.1371E+01  0.8561E+00  0.2137E-02
  0.1452E+01  0.9074E+00  0.1933E-02
  0.1532E+01  0.9550E+00  0.1685E-02
  0.1613E+01  0.9985E+00  0.1445E-02
  0.1694E+01  0.1037E+01  0.1291E-02
  0.1774E+01  0.1071E+01  0.1298E-02
  0.1855E+01  0.1100E+01  0.1466E-02
  0.1936E+01  0.1124E+01  0.1725E-02
  0.2016E+01  0.1142E+01  0.2000E-02
  0.2097E+01  0.1154E+01  0.2241E-02
  0.2178E+01  0.1162E+01  0.2420E-02
  0.2258E+01  0.1164E+01  0.2520E-02
  0.2339E+01  0.1161E+01  0.2541E-02
  0.2420E+01  0.1154E+01  0.2489E-02
  0.2500E+01  0.1142E+01  0.2385E-02
  0.2581E+01  0.1127E+01  0.2259E-02
  0.2661E+01  0.1108E+01  0.2155E-02
  0.2742E+01  0.1086E+01  0.2115E-02
  0.2823E+01  0.1061E+01  0.2167E-02
  0.2903E+01  0.1035E+01  0.2311E-02
  0.2984E+01  0.1006E+01  0.2518E-02
  0.3065E+01  0.9767E+00  0.2747E-02
  0.3145E+01  0.9463E+00  0.2961E-02
  0.3226E+01  0.9155E+00  0.3132E-02
  0.3307E+01  0.8846E+00  0.3241E-02
  0.3387E+01  0.8538E+00  0.3280E-02
  0.3468E+01  0.8233E+00  0.3250E-02
  0.3549E+01  0.7934E+00  0.3163E-02
  0.3629E+01  0.7641E+00  0.3039E-02
  0.3710E+01  0.7356E+00  0.2906E-02
  0.3791E+01  0.7078E+00  0.2798E-02
  0.3871E+01  0.6809E+00  0.2748E-02
  0.3952E+01  0.6548E+00  0.2776E-02
  0.4032E+01  0.6294E+00  0.2879E-02
  0.4113E+01  0.6047E+00  0.3040E-02
  0.4194E+01  0.5807E+00  0.3226E-02
  0.4274E+01  0.5572E+00  0.3409E-02
  0.4355E+01  0.5343E+00  0.3565E-02
  0.4436E+01  0.5118E+00  0.3679E-02
  0.4516E+01  0.4898E+00  0.3743E-02
  0.4597E+01  0.4681E+00  0.3759E-02
  0.4678E+01  0.4468E+00  0.3736E-02
  0.4758E+01  0.4259E+00  0.3689E-02
  0.4839E+01  0.4054E+00  0.3633E-02
  0.4920E+01  0.3853E+00  0.3588E-02
  0.5000E+01  0.3657E+00  0.3567E-02
  0.5081E+01  0.3466E+00  0.3575E-02
  0.5162E+01  0.3280E+00  0.3612E-02
  0.5242E+01  0.3100E+00  0.3670E-02
  0.5323E+01  0.2927E+00  0.3736E-02
  0.5404E+01  0.2761E+00  0.3800E-02
  0.5484E+01  0.2603E+00  0.3853E-02
  0.5565E+01  0.2453E+00  0.3895E-02
  0.5646E+01  0.2311E+00  0.3929E-02
  0.5726E+01  0.2177E+00  0.3962E-02
  0.5807E+01  0.2051E+00  0.4005E-02
  0.5887E+01  0.1934E+00  0.4068E-02
  0.5968E+01  0.1824E+00  0.4154E-02
  0.6049E+01  0.1723E+00  0.4262E-02
  0.6129E+01  0.1629E+00  0.4380E-02
  0.6210E+01  0.1542E+00  0.4495E-02
  0.6291E+01  0.1461E+00  0.4589E-02
  0.6371E+01  0.1387E+00  0.4644E-02
  0.6452E+01  0.1319E+00  0.4648E-02
  0.6533E+01  0.1256E+00  0.4594E-02
  0.6613E+01  0.1197E+00  0.4485E-02
  0.6694E+01  0.1143E+00  0.4333E-02
  0.6775E+01  0.1093E+00  0.4164E-02
  0.6855E+01  0.1046E+00  0.4012E-02
  0.6936E+01  0.1001E+00  0.3921E-02
  0.7017E+01  0.9578E-01  0.3928E-02
  0.7097E+01  0.9157E-01  0.4051E-02
  0.7178E+01  0.8736E-01  0.4278E-02
  0.7258E+01  0.8305E-01  0.4570E-02
  0.7339E+01  0.7850E-01  0.4875E-02
  0.7420E+01  0.7358E-01  0.5135E-02
  0.7500E+01  0.6814E-01  0.5297E-02
  0.7581E+01  0.6201E-01  0.5309E-02
  0.7662E+01  0.5501E-01  0.5127E-02
  0.7742E+01  0.4694E-01  0.4709E-02
  0.7823E+01  0.3761E-01  0.4018E-02
  0.7904E+01  0.2681E-01  0.3023E-02
  0.7984E+01  0.1434E-01  0.1692E-02
  0.8065E+01  0.0000E+00  0.0000E+00
#          Reciprocal space: Rg =    2.37     , I(0) =   0.5090E+02
#     Real space: Rg =    2.38 +- 0.006  I(0) =   0.5091E+02 +-  0.9082E-01
