#       R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.8057E-01  0.1665E-01  0.3625E-03
  0.1611E+00  0.3572E-01  0.6210E-03
  0.2417E+00  0.5715E-01  0.7818E-03
  0.3223E+00  0.8081E-01  0.8545E-03
  0.4029E+00  0.1065E+00  0.8531E-03
  0.4834E+00  0.1341E+00  0.7963E-03
  0.5640E+00  0.1634E+00  0.7098E-03
  0.6446E+00  0.1939E+00  0.6301E-03
  0.7251E+00  0.2255E+00  0.6022E-03
  0.8057E+00  0.2579E+00  0.6541E-03
  0.8863E+00  0.2906E+00  0.7706E-03
  0.9668E+00  0.3234E+00  0.9155E-03
  0.1047E+01  0.3559E+00  0.1059E-02
  0.1128E+01  0.3877E+00  0.1182E-02
  0.1209E+01  0.4186E+00  0.1275E-02
  0.1289E+01  0.4481E+00  0.1332E-02
  0.1370E+01  0.4761E+00  0.1355E-02
  0.1450E+01  0.5022E+00  0.1347E-02
  0.1531E+01  0.5262E+00  0.1320E-02
  0.1611E+01  0.5479E+00  0.1285E-02
  0.1692E+01  0.5672E+00  0.1259E-02
  0.1773E+01  0.5839E+00  0.1254E-02
  0.1853E+01  0.5980E+00  0.1280E-02
  0.1934E+01  0.6093E+00  0.1337E-02
  0.2014E+01  0.6180E+00  0.1416E-02
  0.2095E+01  0.6240E+00  0.1506E-02
  0.2175E+01  0.6274E+00  0.1593E-02
  0.2256E+01  0.6284E+00  0.1668E-02
  0.2337E+01  0.6270E+00  0.1724E-02
  0.2417E+01  0.6234E+00  0.1758E-02
  0.2498E+01  0.6178E+00  0.1771E-02
  0.2578E+01  0.6105E+00  0.1767E-02
  0.2659E+01  0.6015E+00  0.1754E-02
  0.2739E+01  0.5911E+00  0.1741E-02
  0.2820E+01  0.5796E+00  0.1737E-02
  0.2901E+01  0.5671E+00  0.1751E-02
  0.2981E+01  0.5538E+00  0.1784E-02
  0.3062E+01  0.5399E+00  0.1837E-02
  0.3142E+01  0.5256E+00  0.1903E-02
  0.3223E+01  0.5110E+00  0.1973E-02
  0.3303E+01  0.4963E+00  0.2040E-02
  0.3384E+01  0.4816E+00  0.2094E-02
  0.3465E+01  0.4669E+00  0.2129E-02
  0.3545E+01  0.4524E+00  0.2143E-02
  0.3626E+01  0.4382E+00  0.2133E-02
  0.3706E+01  0.4241E+00  0.2103E-02
  0.3787E+01  0.4103E+00  0.2057E-02
  0.3867E+01  0.3968E+00  0.2003E-02
  0.3948E+01  0.3836E+00  0.1949E-02
  0.4029E+01  0.3705E+00  0.1904E-02
  0.4109E+01  0.3577E+00  0.1876E-02
  0.4190E+01  0.3451E+00  0.1871E-02
  0.4270E+01  0.3327E+00  0.1888E-02
  0.4351E+01  0.3204E+00  0.1926E-02
  0.4431E+01  0.3082E+00  0.1979E-02
  0.4512E+01  0.2961E+00  0.2039E-02
  0.4592E+01  0.2841E+00  0.2100E-02
  0.4673E+01  0.2722E+00  0.2157E-02
  0.4754E+01  0.2604E+00  0.2206E-02
  0.4834E+01  0.2487E+00  0.2246E-02
  0.4915E+01  0.2371E+00  0.2278E-02
  0.4995E+01  0.2256E+00  0.2303E-02
  0.5076E+01  0.2142E+00  0.2325E-02
  0.5156E+01  0.2031E+00  0.2345E-02
  0.5237E+01  0.1922E+00  0.2368E-02
  0.5318E+01  0.1815E+00  0.2395E-02
  0.5398E+01  0.1712E+00  0.2428E-02
  0.5479E+01  0.1612E+00  0.2466E-02
  0.5559E+01  0.1515E+00  0.2510E-02
  0.5640E+01  0.1423E+00  0.2557E-02
  0.5720E+01  0.1334E+00  0.2609E-02
  0.5801E+01  0.1250E+00  0.2662E-02
  0.5882E+01  0.1170E+00  0.2718E-02
  0.5962E+01  0.1095E+00  0.2776E-02
  0.6043E+01  0.1024E+00  0.2835E-02
  0.6123E+01  0.9574E-01  0.2897E-02
  0.6204E+01  0.8948E-01  0.2960E-02
  0.6284E+01  0.8362E-01  0.3025E-02
  0.6365E+01  0.7811E-01  0.3089E-02
  0.6446E+01  0.7295E-01  0.3152E-02
  0.6526E+01  0.6809E-01  0.3212E-02
  0.6607E+01  0.6350E-01  0.3266E-02
  0.6687E+01  0.5915E-01  0.3312E-02
  0.6768E+01  0.5502E-01  0.3348E-02
  0.6848E+01  0.5106E-01  0.3370E-02
  0.6929E+01  0.4725E-01  0.3377E-02
  0.7010E+01  0.4356E-01  0.3365E-02
  0.7090E+01  0.3998E-01  0.3333E-02
  0.7171E+01  0.3648E-01  0.3277E-02
  0.7251E+01  0.3304E-01  0.3195E-02
  0.7332E+01  0.2965E-01  0.3083E-02
  0.7412E+01  0.2630E-01  0.2937E-02
  0.7493E+01  0.2298E-01  0.2752E-02
  0.7574E+01  0.1969E-01  0.2526E-02
  0.7654E+01  0.1640E-01  0.2251E-02
  0.7735E+01  0.1313E-01  0.1925E-02
  0.7815E+01  0.9859E-02  0.1541E-02
  0.7896E+01  0.6585E-02  0.1094E-02
  0.7976E+01  0.3302E-02  0.5822E-03
  0.8057E+01  0.0000E+00  0.0000E+00
#          Reciprocal space: Rg =    2.37     , I(0) =   0.2858E+02
#     Real space: Rg =    2.37 +- 0.009  I(0) =   0.2858E+02 +-  0.7367E-01
