#       R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.7427E-01  0.3143E-01  0.1464E-02
  0.1485E+00  0.6352E-01  0.2463E-02
  0.2228E+00  0.9626E-01  0.3019E-02
  0.2971E+00  0.1296E+00  0.3169E-02
  0.3714E+00  0.1637E+00  0.2965E-02
  0.4456E+00  0.1983E+00  0.2471E-02
  0.5199E+00  0.2335E+00  0.1768E-02
  0.5942E+00  0.2692E+00  0.9965E-03
  0.6684E+00  0.3054E+00  0.7356E-03
  0.7427E+00  0.3420E+00  0.1450E-02
  0.8170E+00  0.3788E+00  0.2337E-02
  0.8912E+00  0.4156E+00  0.3154E-02
  0.9655E+00  0.4524E+00  0.3819E-02
  0.1040E+01  0.4888E+00  0.4288E-02
  0.1114E+01  0.5247E+00  0.4531E-02
  0.1188E+01  0.5597E+00  0.4535E-02
  0.1263E+01  0.5936E+00  0.4302E-02
  0.1337E+01  0.6261E+00  0.3851E-02
  0.1411E+01  0.6568E+00  0.3220E-02
  0.1485E+01  0.6855E+00  0.2472E-02
  0.1560E+01  0.7117E+00  0.1739E-02
  0.1634E+01  0.7352E+00  0.1355E-02
  0.1708E+01  0.7558E+00  0.1699E-02
  0.1782E+01  0.7732E+00  0.2463E-02
  0.1857E+01  0.7871E+00  0.3290E-02
  0.1931E+01  0.7975E+00  0.4037E-02
  0.2005E+01  0.8043E+00  0.4635E-02
  0.2080E+01  0.8073E+00  0.5041E-02
  0.2154E+01  0.8067E+00  0.5234E-02
  0.2228E+01  0.8026E+00  0.5205E-02
  0.2302E+01  0.7951E+00  0.4964E-02
  0.2377E+01  0.7845E+00  0.4534E-02
  0.2451E+01  0.7709E+00  0.3963E-02
  0.2525E+01  0.7548E+00  0.3325E-02
  0.2599E+01  0.7365E+00  0.2745E-02
  0.2674E+01  0.7165E+00  0.2415E-02
  0.2748E+01  0.6950E+00  0.2500E-02
  0.2822E+01  0.6726E+00  0.2948E-02
  0.2897E+01  0.6496E+00  0.3554E-02
  0.2971E+01  0.6265E+00  0.4157E-02
  0.3045E+01  0.6035E+00  0.4660E-02
  0.3119E+01  0.5812E+00  0.5006E-02
  0.3194E+01  0.5596E+00  0.5167E-02
  0.3268E+01  0.5391E+00  0.5135E-02
  0.3342E+01  0.5198E+00  0.4922E-02
  0.3416E+01  0.5018E+00  0.4559E-02
  0.3491E+01  0.4852E+00  0.4104E-02
  0.3565E+01  0.4699E+00  0.3650E-02
  0.3639E+01  0.4560E+00  0.3321E-02
  0.3714E+01  0.4432E+00  0.3248E-02
  0.3788E+01  0.4315E+00  0.3476E-02
  0.3862E+01  0.4206E+00  0.3927E-02
  0.3936E+01  0.4103E+00  0.4472E-02
  0.4011E+01  0.4005E+00  0.4997E-02
  0.4085E+01  0.3908E+00  0.5423E-02
  0.4159E+01  0.3811E+00  0.5702E-02
  0.4233E+01  0.3712E+00  0.5808E-02
  0.4308E+01  0.3608E+00  0.5735E-02
  0.4382E+01  0.3500E+00  0.5500E-02
  0.4456E+01  0.3385E+00  0.5142E-02
  0.4530E+01  0.3263E+00  0.4728E-02
  0.4605E+01  0.3134E+00  0.4351E-02
  0.4679E+01  0.2998E+00  0.4122E-02
  0.4753E+01  0.2856E+00  0.4132E-02
  0.4828E+01  0.2708E+00  0.4392E-02
  0.4902E+01  0.2557E+00  0.4829E-02
  0.4976E+01  0.2404E+00  0.5336E-02
  0.5050E+01  0.2250E+00  0.5816E-02
  0.5125E+01  0.2097E+00  0.6198E-02
  0.5199E+01  0.1947E+00  0.6438E-02
  0.5273E+01  0.1803E+00  0.6517E-02
  0.5347E+01  0.1665E+00  0.6440E-02
  0.5422E+01  0.1535E+00  0.6240E-02
  0.5496E+01  0.1414E+00  0.5976E-02
  0.5570E+01  0.1302E+00  0.5728E-02
  0.5645E+01  0.1202E+00  0.5592E-02
  0.5719E+01  0.1111E+00  0.5643E-02
  0.5793E+01  0.1032E+00  0.5900E-02
  0.5867E+01  0.9616E-01  0.6318E-02
  0.5942E+01  0.9007E-01  0.6810E-02
  0.6016E+01  0.8480E-01  0.7280E-02
  0.6090E+01  0.8022E-01  0.7646E-02
  0.6164E+01  0.7620E-01  0.7849E-02
  0.6239E+01  0.7262E-01  0.7860E-02
  0.6313E+01  0.6933E-01  0.7686E-02
  0.6387E+01  0.6620E-01  0.7375E-02
  0.6461E+01  0.6312E-01  0.7033E-02
  0.6536E+01  0.5998E-01  0.6817E-02
  0.6610E+01  0.5669E-01  0.6905E-02
  0.6684E+01  0.5319E-01  0.7401E-02
  0.6759E+01  0.4943E-01  0.8265E-02
  0.6833E+01  0.4536E-01  0.9334E-02
  0.6907E+01  0.4097E-01  0.1040E-01
  0.6981E+01  0.3624E-01  0.1124E-01
  0.7056E+01  0.3117E-01  0.1166E-01
  0.7130E+01  0.2574E-01  0.1143E-01
  0.7204E+01  0.1995E-01  0.1036E-01
  0.7278E+01  0.1377E-01  0.8237E-02
  0.7353E+01  0.7139E-02  0.4854E-02
  0.7427E+01  0.0000E+00  0.0000E+00
#          Reciprocal space: Rg =    2.20     , I(0) =   0.3367E+02
#     Real space: Rg =    2.21 +- 0.010  I(0) =   0.3367E+02 +-  0.8789E-01
