#       R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.7986E-01  0.2738E-01  0.4763E-03
  0.1597E+00  0.6030E-01  0.8089E-03
  0.2396E+00  0.9863E-01  0.1007E-02
  0.3194E+00  0.1421E+00  0.1084E-02
  0.3993E+00  0.1905E+00  0.1060E-02
  0.4792E+00  0.2435E+00  0.9627E-03
  0.5590E+00  0.3004E+00  0.8302E-03
  0.6389E+00  0.3609E+00  0.7205E-03
  0.7187E+00  0.4243E+00  0.7048E-03
  0.7986E+00  0.4900E+00  0.8107E-03
  0.8785E+00  0.5573E+00  0.9931E-03
  0.9583E+00  0.6255E+00  0.1195E-02
  0.1038E+01  0.6939E+00  0.1379E-02
  0.1118E+01  0.7618E+00  0.1525E-02
  0.1198E+01  0.8284E+00  0.1620E-02
  0.1278E+01  0.8930E+00  0.1664E-02
  0.1358E+01  0.9550E+00  0.1660E-02
  0.1437E+01  0.1014E+01  0.1618E-02
  0.1517E+01  0.1068E+01  0.1554E-02
  0.1597E+01  0.1119E+01  0.1492E-02
  0.1677E+01  0.1164E+01  0.1453E-02
  0.1757E+01  0.1204E+01  0.1454E-02
  0.1837E+01  0.1238E+01  0.1503E-02
  0.1917E+01  0.1267E+01  0.1589E-02
  0.1996E+01  0.1289E+01  0.1695E-02
  0.2076E+01  0.1306E+01  0.1801E-02
  0.2156E+01  0.1316E+01  0.1893E-02
  0.2236E+01  0.1321E+01  0.1959E-02
  0.2316E+01  0.1320E+01  0.1997E-02
  0.2396E+01  0.1314E+01  0.2009E-02
  0.2476E+01  0.1302E+01  0.2002E-02
  0.2556E+01  0.1286E+01  0.1989E-02
  0.2635E+01  0.1266E+01  0.1983E-02
  0.2715E+01  0.1242E+01  0.1998E-02
  0.2795E+01  0.1215E+01  0.2042E-02
  0.2875E+01  0.1185E+01  0.2115E-02
  0.2955E+01  0.1153E+01  0.2212E-02
  0.3035E+01  0.1119E+01  0.2322E-02
  0.3115E+01  0.1083E+01  0.2433E-02
  0.3194E+01  0.1047E+01  0.2533E-02
  0.3274E+01  0.1011E+01  0.2616E-02
  0.3354E+01  0.9743E+00  0.2680E-02
  0.3434E+01  0.9379E+00  0.2724E-02
  0.3514E+01  0.9020E+00  0.2755E-02
  0.3594E+01  0.8668E+00  0.2780E-02
  0.3674E+01  0.8323E+00  0.2808E-02
  0.3753E+01  0.7989E+00  0.2846E-02
  0.3833E+01  0.7664E+00  0.2900E-02
  0.3913E+01  0.7350E+00  0.2968E-02
  0.3993E+01  0.7046E+00  0.3047E-02
  0.4073E+01  0.6752E+00  0.3128E-02
  0.4153E+01  0.6468E+00  0.3203E-02
  0.4233E+01  0.6193E+00  0.3264E-02
  0.4312E+01  0.5926E+00  0.3305E-02
  0.4392E+01  0.5667E+00  0.3323E-02
  0.4472E+01  0.5415E+00  0.3319E-02
  0.4552E+01  0.5170E+00  0.3300E-02
  0.4632E+01  0.4931E+00  0.3275E-02
  0.4712E+01  0.4697E+00  0.3253E-02
  0.4792E+01  0.4469E+00  0.3245E-02
  0.4871E+01  0.4246E+00  0.3259E-02
  0.4951E+01  0.4030E+00  0.3299E-02
  0.5031E+01  0.3819E+00  0.3361E-02
  0.5111E+01  0.3614E+00  0.3438E-02
  0.5191E+01  0.3416E+00  0.3519E-02
  0.5271E+01  0.3225E+00  0.3593E-02
  0.5351E+01  0.3042E+00  0.3652E-02
  0.5430E+01  0.2867E+00  0.3688E-02
  0.5510E+01  0.2701E+00  0.3701E-02
  0.5590E+01  0.2543E+00  0.3694E-02
  0.5670E+01  0.2395E+00  0.3673E-02
  0.5750E+01  0.2256E+00  0.3651E-02
  0.5830E+01  0.2126E+00  0.3638E-02
  0.5910E+01  0.2006E+00  0.3647E-02
  0.5989E+01  0.1895E+00  0.3684E-02
  0.6069E+01  0.1793E+00  0.3752E-02
  0.6149E+01  0.1699E+00  0.3845E-02
  0.6229E+01  0.1613E+00  0.3956E-02
  0.6309E+01  0.1535E+00  0.4073E-02
  0.6389E+01  0.1463E+00  0.4185E-02
  0.6469E+01  0.1397E+00  0.4287E-02
  0.6549E+01  0.1336E+00  0.4374E-02
  0.6628E+01  0.1280E+00  0.4450E-02
  0.6708E+01  0.1226E+00  0.4521E-02
  0.6788E+01  0.1176E+00  0.4598E-02
  0.6868E+01  0.1127E+00  0.4690E-02
  0.6948E+01  0.1078E+00  0.4804E-02
  0.7028E+01  0.1029E+00  0.4940E-02
  0.7108E+01  0.9788E-01  0.5092E-02
  0.7187E+01  0.9261E-01  0.5241E-02
  0.7267E+01  0.8699E-01  0.5364E-02
  0.7347E+01  0.8091E-01  0.5430E-02
  0.7427E+01  0.7423E-01  0.5406E-02
  0.7507E+01  0.6685E-01  0.5257E-02
  0.7587E+01  0.5861E-01  0.4950E-02
  0.7667E+01  0.4940E-01  0.4453E-02
  0.7746E+01  0.3908E-01  0.3734E-02
  0.7826E+01  0.2749E-01  0.2768E-02
  0.7906E+01  0.1451E-01  0.1530E-02
  0.7986E+01  0.0000E+00  0.0000E+00
#          Reciprocal space: Rg =    2.34     , I(0) =   0.5666E+02
#     Real space: Rg =    2.35 +- 0.006  I(0) =   0.5667E+02 +-  0.9214E-01
