#       R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.7592E-01  0.2278E-01  0.4811E-03
  0.1518E+00  0.4813E-01  0.8262E-03
  0.2278E+00  0.7596E-01  0.1042E-02
  0.3037E+00  0.1062E+00  0.1139E-02
  0.3796E+00  0.1386E+00  0.1132E-02
  0.4555E+00  0.1730E+00  0.1042E-02
  0.5314E+00  0.2092E+00  0.8938E-03
  0.6074E+00  0.2469E+00  0.7276E-03
  0.6833E+00  0.2857E+00  0.6085E-03
  0.7592E+00  0.3254E+00  0.6173E-03
  0.8351E+00  0.3655E+00  0.7604E-03
  0.9110E+00  0.4058E+00  0.9672E-03
  0.9870E+00  0.4457E+00  0.1180E-02
  0.1063E+01  0.4850E+00  0.1367E-02
  0.1139E+01  0.5232E+00  0.1512E-02
  0.1215E+01  0.5600E+00  0.1607E-02
  0.1291E+01  0.5950E+00  0.1648E-02
  0.1367E+01  0.6279E+00  0.1639E-02
  0.1442E+01  0.6583E+00  0.1588E-02
  0.1518E+01  0.6860E+00  0.1511E-02
  0.1594E+01  0.7107E+00  0.1426E-02
  0.1670E+01  0.7323E+00  0.1358E-02
  0.1746E+01  0.7505E+00  0.1330E-02
  0.1822E+01  0.7653E+00  0.1356E-02
  0.1898E+01  0.7766E+00  0.1434E-02
  0.1974E+01  0.7845E+00  0.1545E-02
  0.2050E+01  0.7889E+00  0.1668E-02
  0.2126E+01  0.7899E+00  0.1783E-02
  0.2202E+01  0.7877E+00  0.1874E-02
  0.2278E+01  0.7825E+00  0.1932E-02
  0.2354E+01  0.7744E+00  0.1953E-02
  0.2429E+01  0.7638E+00  0.1936E-02
  0.2505E+01  0.7509E+00  0.1890E-02
  0.2581E+01  0.7359E+00  0.1825E-02
  0.2657E+01  0.7192E+00  0.1759E-02
  0.2733E+01  0.7012E+00  0.1712E-02
  0.2809E+01  0.6820E+00  0.1702E-02
  0.2885E+01  0.6620E+00  0.1740E-02
  0.2961E+01  0.6416E+00  0.1828E-02
  0.3037E+01  0.6209E+00  0.1953E-02
  0.3113E+01  0.6002E+00  0.2099E-02
  0.3189E+01  0.5798E+00  0.2248E-02
  0.3265E+01  0.5598E+00  0.2386E-02
  0.3340E+01  0.5403E+00  0.2501E-02
  0.3416E+01  0.5215E+00  0.2587E-02
  0.3492E+01  0.5034E+00  0.2641E-02
  0.3568E+01  0.4862E+00  0.2667E-02
  0.3644E+01  0.4698E+00  0.2668E-02
  0.3720E+01  0.4541E+00  0.2655E-02
  0.3796E+01  0.4392E+00  0.2637E-02
  0.3872E+01  0.4250E+00  0.2626E-02
  0.3948E+01  0.4114E+00  0.2632E-02
  0.4024E+01  0.3983E+00  0.2660E-02
  0.4100E+01  0.3856E+00  0.2712E-02
  0.4176E+01  0.3733E+00  0.2785E-02
  0.4252E+01  0.3611E+00  0.2871E-02
  0.4327E+01  0.3490E+00  0.2960E-02
  0.4403E+01  0.3370E+00  0.3045E-02
  0.4479E+01  0.3249E+00  0.3117E-02
  0.4555E+01  0.3127E+00  0.3172E-02
  0.4631E+01  0.3004E+00  0.3207E-02
  0.4707E+01  0.2880E+00  0.3223E-02
  0.4783E+01  0.2754E+00  0.3225E-02
  0.4859E+01  0.2627E+00  0.3219E-02
  0.4935E+01  0.2499E+00  0.3212E-02
  0.5011E+01  0.2371E+00  0.3211E-02
  0.5087E+01  0.2243E+00  0.3225E-02
  0.5163E+01  0.2116E+00  0.3257E-02
  0.5238E+01  0.1991E+00  0.3308E-02
  0.5314E+01  0.1869E+00  0.3377E-02
  0.5390E+01  0.1750E+00  0.3458E-02
  0.5466E+01  0.1636E+00  0.3545E-02
  0.5542E+01  0.1526E+00  0.3629E-02
  0.5618E+01  0.1422E+00  0.3703E-02
  0.5694E+01  0.1324E+00  0.3763E-02
  0.5770E+01  0.1232E+00  0.3803E-02
  0.5846E+01  0.1147E+00  0.3823E-02
  0.5922E+01  0.1069E+00  0.3822E-02
  0.5998E+01  0.9964E-01  0.3804E-02
  0.6074E+01  0.9305E-01  0.3773E-02
  0.6150E+01  0.8703E-01  0.3736E-02
  0.6225E+01  0.8155E-01  0.3701E-02
  0.6301E+01  0.7653E-01  0.3677E-02
  0.6377E+01  0.7191E-01  0.3671E-02
  0.6453E+01  0.6762E-01  0.3688E-02
  0.6529E+01  0.6358E-01  0.3729E-02
  0.6605E+01  0.5971E-01  0.3792E-02
  0.6681E+01  0.5593E-01  0.3869E-02
  0.6757E+01  0.5219E-01  0.3948E-02
  0.6833E+01  0.4840E-01  0.4014E-02
  0.6909E+01  0.4452E-01  0.4050E-02
  0.6985E+01  0.4049E-01  0.4037E-02
  0.7061E+01  0.3628E-01  0.3958E-02
  0.7136E+01  0.3185E-01  0.3792E-02
  0.7212E+01  0.2719E-01  0.3521E-02
  0.7288E+01  0.2226E-01  0.3127E-02
  0.7364E+01  0.1708E-01  0.2594E-02
  0.7440E+01  0.1164E-01  0.1904E-02
  0.7516E+01  0.5941E-02  0.1044E-02
  0.7592E+01  0.0000E+00  0.0000E+00
#          Reciprocal space: Rg =    2.24     , I(0) =   0.3356E+02
#     Real space: Rg =    2.25 +- 0.007  I(0) =   0.3356E+02 +-  0.7816E-01
