#       R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.7846E-01  0.3445E-01  0.7375E-03
  0.1569E+00  0.7260E-01  0.1239E-02
  0.2354E+00  0.1143E+00  0.1518E-02
  0.3138E+00  0.1595E+00  0.1595E-02
  0.3923E+00  0.2080E+00  0.1501E-02
  0.4708E+00  0.2593E+00  0.1274E-02
  0.5492E+00  0.3133E+00  0.9753E-03
  0.6277E+00  0.3695E+00  0.7153E-03
  0.7061E+00  0.4275E+00  0.7048E-03
  0.7846E+00  0.4867E+00  0.9828E-03
  0.8631E+00  0.5468E+00  0.1357E-02
  0.9415E+00  0.6071E+00  0.1714E-02
  0.1020E+01  0.6670E+00  0.2002E-02
  0.1098E+01  0.7260E+00  0.2196E-02
  0.1177E+01  0.7834E+00  0.2281E-02
  0.1255E+01  0.8387E+00  0.2255E-02
  0.1334E+01  0.8913E+00  0.2125E-02
  0.1412E+01  0.9406E+00  0.1912E-02
  0.1491E+01  0.9862E+00  0.1653E-02
  0.1569E+01  0.1027E+01  0.1412E-02
  0.1648E+01  0.1064E+01  0.1286E-02
  0.1726E+01  0.1096E+01  0.1359E-02
  0.1805E+01  0.1122E+01  0.1609E-02
  0.1883E+01  0.1143E+01  0.1947E-02
  0.1962E+01  0.1159E+01  0.2294E-02
  0.2040E+01  0.1169E+01  0.2600E-02
  0.2118E+01  0.1173E+01  0.2834E-02
  0.2197E+01  0.1173E+01  0.2979E-02
  0.2275E+01  0.1167E+01  0.3029E-02
  0.2354E+01  0.1157E+01  0.2989E-02
  0.2432E+01  0.1142E+01  0.2873E-02
  0.2511E+01  0.1124E+01  0.2707E-02
  0.2589E+01  0.1102E+01  0.2530E-02
  0.2668E+01  0.1077E+01  0.2389E-02
  0.2746E+01  0.1050E+01  0.2332E-02
  0.2825E+01  0.1021E+01  0.2385E-02
  0.2903E+01  0.9913E+00  0.2540E-02
  0.2981E+01  0.9606E+00  0.2759E-02
  0.3060E+01  0.9295E+00  0.2996E-02
  0.3138E+01  0.8986E+00  0.3213E-02
  0.3217E+01  0.8681E+00  0.3381E-02
  0.3295E+01  0.8385E+00  0.3484E-02
  0.3374E+01  0.8098E+00  0.3516E-02
  0.3452E+01  0.7823E+00  0.3484E-02
  0.3531E+01  0.7561E+00  0.3402E-02
  0.3609E+01  0.7312E+00  0.3296E-02
  0.3688E+01  0.7076E+00  0.3195E-02
  0.3766E+01  0.6852E+00  0.3132E-02
  0.3845E+01  0.6639E+00  0.3129E-02
  0.3923E+01  0.6436E+00  0.3193E-02
  0.4001E+01  0.6239E+00  0.3312E-02
  0.4080E+01  0.6049E+00  0.3462E-02
  0.4158E+01  0.5863E+00  0.3612E-02
  0.4237E+01  0.5679E+00  0.3736E-02
  0.4315E+01  0.5495E+00  0.3814E-02
  0.4394E+01  0.5311E+00  0.3838E-02
  0.4472E+01  0.5124E+00  0.3810E-02
  0.4551E+01  0.4935E+00  0.3742E-02
  0.4629E+01  0.4743E+00  0.3656E-02
  0.4708E+01  0.4548E+00  0.3584E-02
  0.4786E+01  0.4351E+00  0.3557E-02
  0.4865E+01  0.4151E+00  0.3601E-02
  0.4943E+01  0.3950E+00  0.3724E-02
  0.5021E+01  0.3750E+00  0.3916E-02
  0.5100E+01  0.3551E+00  0.4149E-02
  0.5178E+01  0.3356E+00  0.4393E-02
  0.5257E+01  0.3165E+00  0.4616E-02
  0.5335E+01  0.2980E+00  0.4794E-02
  0.5414E+01  0.2802E+00  0.4910E-02
  0.5492E+01  0.2633E+00  0.4958E-02
  0.5571E+01  0.2473E+00  0.4941E-02
  0.5649E+01  0.2323E+00  0.4872E-02
  0.5728E+01  0.2184E+00  0.4773E-02
  0.5806E+01  0.2056E+00  0.4672E-02
  0.5885E+01  0.1938E+00  0.4599E-02
  0.5963E+01  0.1830E+00  0.4581E-02
  0.6041E+01  0.1731E+00  0.4629E-02
  0.6120E+01  0.1641E+00  0.4743E-02
  0.6198E+01  0.1559E+00  0.4903E-02
  0.6277E+01  0.1484E+00  0.5086E-02
  0.6355E+01  0.1414E+00  0.5261E-02
  0.6434E+01  0.1348E+00  0.5407E-02
  0.6512E+01  0.1286E+00  0.5508E-02
  0.6591E+01  0.1226E+00  0.5560E-02
  0.6669E+01  0.1167E+00  0.5571E-02
  0.6748E+01  0.1109E+00  0.5556E-02
  0.6826E+01  0.1050E+00  0.5540E-02
  0.6904E+01  0.9897E-01  0.5549E-02
  0.6983E+01  0.9281E-01  0.5601E-02
  0.7061E+01  0.8644E-01  0.5702E-02
  0.7140E+01  0.7982E-01  0.5835E-02
  0.7218E+01  0.7291E-01  0.5966E-02
  0.7297E+01  0.6565E-01  0.6046E-02
  0.7375E+01  0.5801E-01  0.6013E-02
  0.7454E+01  0.4992E-01  0.5805E-02
  0.7532E+01  0.4131E-01  0.5359E-02
  0.7611E+01  0.3212E-01  0.4612E-02
  0.7689E+01  0.2224E-01  0.3505E-02
  0.7768E+01  0.1157E-01  0.1985E-02
  0.7846E+01  0.0000E+00  0.0000E+00
#          Reciprocal space: Rg =    2.32     , I(0) =   0.5129E+02
#     Real space: Rg =    2.34 +- 0.006  I(0) =   0.5130E+02 +-  0.9290E-01
