#       R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.7501E-01  0.2329E-01  0.3313E-03
  0.1500E+00  0.4894E-01  0.5747E-03
  0.2250E+00  0.7685E-01  0.7346E-03
  0.3000E+00  0.1069E+00  0.8178E-03
  0.3751E+00  0.1390E+00  0.8341E-03
  0.4501E+00  0.1728E+00  0.7964E-03
  0.5251E+00  0.2081E+00  0.7221E-03
  0.6001E+00  0.2446E+00  0.6353E-03
  0.6751E+00  0.2821E+00  0.5702E-03
  0.7501E+00  0.3201E+00  0.5639E-03
  0.8251E+00  0.3583E+00  0.6303E-03
  0.9001E+00  0.3964E+00  0.7474E-03
  0.9751E+00  0.4340E+00  0.8837E-03
  0.1050E+01  0.4706E+00  0.1016E-02
  0.1125E+01  0.5060E+00  0.1128E-02
  0.1200E+01  0.5399E+00  0.1212E-02
  0.1275E+01  0.5718E+00  0.1263E-02
  0.1350E+01  0.6016E+00  0.1279E-02
  0.1425E+01  0.6289E+00  0.1264E-02
  0.1500E+01  0.6535E+00  0.1222E-02
  0.1575E+01  0.6753E+00  0.1165E-02
  0.1650E+01  0.6941E+00  0.1105E-02
  0.1725E+01  0.7098E+00  0.1059E-02
  0.1800E+01  0.7224E+00  0.1044E-02
  0.1875E+01  0.7318E+00  0.1070E-02
  0.1950E+01  0.7381E+00  0.1136E-02
  0.2025E+01  0.7414E+00  0.1234E-02
  0.2100E+01  0.7418E+00  0.1347E-02
  0.2175E+01  0.7393E+00  0.1463E-02
  0.2250E+01  0.7343E+00  0.1569E-02
  0.2325E+01  0.7268E+00  0.1657E-02
  0.2400E+01  0.7172E+00  0.1722E-02
  0.2475E+01  0.7055E+00  0.1760E-02
  0.2550E+01  0.6922E+00  0.1773E-02
  0.2625E+01  0.6774E+00  0.1764E-02
  0.2700E+01  0.6614E+00  0.1736E-02
  0.2775E+01  0.6444E+00  0.1699E-02
  0.2850E+01  0.6267E+00  0.1661E-02
  0.2925E+01  0.6085E+00  0.1632E-02
  0.3000E+01  0.5900E+00  0.1621E-02
  0.3075E+01  0.5714E+00  0.1633E-02
  0.3150E+01  0.5528E+00  0.1672E-02
  0.3225E+01  0.5344E+00  0.1734E-02
  0.3300E+01  0.5163E+00  0.1813E-02
  0.3375E+01  0.4987E+00  0.1902E-02
  0.3450E+01  0.4815E+00  0.1993E-02
  0.3525E+01  0.4648E+00  0.2078E-02
  0.3600E+01  0.4487E+00  0.2153E-02
  0.3675E+01  0.4331E+00  0.2214E-02
  0.3751E+01  0.4181E+00  0.2258E-02
  0.3826E+01  0.4036E+00  0.2285E-02
  0.3901E+01  0.3896E+00  0.2296E-02
  0.3976E+01  0.3761E+00  0.2292E-02
  0.4051E+01  0.3629E+00  0.2276E-02
  0.4126E+01  0.3501E+00  0.2251E-02
  0.4201E+01  0.3376E+00  0.2219E-02
  0.4276E+01  0.3254E+00  0.2185E-02
  0.4351E+01  0.3133E+00  0.2150E-02
  0.4426E+01  0.3014E+00  0.2118E-02
  0.4501E+01  0.2897E+00  0.2091E-02
  0.4576E+01  0.2781E+00  0.2071E-02
  0.4651E+01  0.2666E+00  0.2059E-02
  0.4726E+01  0.2552E+00  0.2057E-02
  0.4801E+01  0.2439E+00  0.2064E-02
  0.4876E+01  0.2327E+00  0.2082E-02
  0.4951E+01  0.2217E+00  0.2110E-02
  0.5026E+01  0.2108E+00  0.2147E-02
  0.5101E+01  0.2002E+00  0.2192E-02
  0.5176E+01  0.1898E+00  0.2243E-02
  0.5251E+01  0.1796E+00  0.2298E-02
  0.5326E+01  0.1698E+00  0.2355E-02
  0.5401E+01  0.1603E+00  0.2412E-02
  0.5476E+01  0.1511E+00  0.2467E-02
  0.5551E+01  0.1424E+00  0.2518E-02
  0.5626E+01  0.1341E+00  0.2563E-02
  0.5701E+01  0.1262E+00  0.2602E-02
  0.5776E+01  0.1187E+00  0.2633E-02
  0.5851E+01  0.1117E+00  0.2657E-02
  0.5926E+01  0.1050E+00  0.2675E-02
  0.6001E+01  0.9877E-01  0.2685E-02
  0.6076E+01  0.9289E-01  0.2690E-02
  0.6151E+01  0.8735E-01  0.2688E-02
  0.6226E+01  0.8210E-01  0.2682E-02
  0.6301E+01  0.7712E-01  0.2670E-02
  0.6376E+01  0.7235E-01  0.2653E-02
  0.6451E+01  0.6774E-01  0.2628E-02
  0.6526E+01  0.6326E-01  0.2594E-02
  0.6601E+01  0.5885E-01  0.2550E-02
  0.6676E+01  0.5447E-01  0.2493E-02
  0.6751E+01  0.5007E-01  0.2419E-02
  0.6826E+01  0.4564E-01  0.2326E-02
  0.6901E+01  0.4112E-01  0.2210E-02
  0.6976E+01  0.3649E-01  0.2068E-02
  0.7051E+01  0.3174E-01  0.1895E-02
  0.7126E+01  0.2684E-01  0.1688E-02
  0.7201E+01  0.2178E-01  0.1442E-02
  0.7276E+01  0.1657E-01  0.1154E-02
  0.7351E+01  0.1120E-01  0.8205E-03
  0.7426E+01  0.5670E-02  0.4369E-03
  0.7501E+01  0.0000E+00  0.0000E+00
#          Reciprocal space: Rg =    2.22     , I(0) =   0.3164E+02
#     Real space: Rg =    2.23 +- 0.006  I(0) =   0.3164E+02 +-  0.6503E-01
