# Fitted chi: 0.212305 +- 0.00552911
# Scaling factor for file 1: 0.841454 +- 0.0016914
# Scaling factor for file 2: 0.115459 +- 0.0228083
# Scaling factor for file 3: 0.00819276 +- 0.0551189
# Scaling factor for file 4: 0.0346514 +- 0.0468841

@type xydy
0.3011719 55.146038999999995 0.15993368241096712
0.3059148 54.98554399999999 0.1584305301730547
0.3106577 54.66501100000001 0.15672278767534223
0.3154005 54.659325 0.1555076101703743
0.3201434 54.338557 0.153880800730829
0.3248863 53.890688999999995 0.15210018043450377
0.3296291 53.871385 0.15094460900671475
0.334372 53.626059 0.14950600936893707
0.3391149 53.711492 0.15011958861300415
0.3438577 53.628731 0.15194236951543966
0.3486006 53.365151000000004 0.1554268417840831
0.3533435 53.21567700000001 0.15805611054890728
0.3580863 53.110209 0.15986229340640867
0.3628292 52.857732999999996 0.16105476728057166
0.367572 52.71847399999999 0.16216635288471495
0.3723149 52.444327 0.16293456425455405
0.3770578 52.18693999999999 0.16362191923964375
0.3818006 52.250472 0.16459494583773465
0.3865435 51.8534 0.16477737971240622
0.3912864 51.661533 0.1651317446401851
0.3960292 51.7328 0.165924641162397
0.4007721 51.527763000000014 0.16630331760923261
0.405515 51.506371 0.17199942643818292
0.4102578 51.247285 0.17604016990004356
0.4150007 51.114907 0.17966242282483919
0.4197436 51.092982000000006 0.18239043424324589
0.4244864 50.634729 0.18451073252068645
0.4292293 50.386858000000004 0.186870338784584
0.4339722 50.339607999999984 0.1896426527194787
0.438715 50.35452600000001 0.1924377704698259
0.4434579 50.24002 0.19504272529378172
0.4482008 49.954902 0.19777235608852012
0.4529436 49.676754 0.20043536730228
0.4576865 49.57168599999999 0.2023141997270367
0.4624294 49.524848 0.20390316305679662
0.4671722 49.405958 0.2026521512913305
0.4719151 49.58834900000001 0.1950347710437777
0.4766579 49.024467 0.19027153624735124
0.4814008 48.956161 0.18772362346714197
0.4861437 48.502666000000005 0.1850128798668801
0.4908865 48.443304 0.18339209376223664
0.4956294 48.303739 0.18183893370658522
0.5003723 48.268440999999996 0.18062937284782368
0.5051151 47.979675 0.17906642194507433
0.509858 47.635892 0.17749618188308813
0.5146009 47.401965 0.17620494584977886
0.5193437 47.287522 0.17518692155916377
0.5240866 47.192531 0.1742569719279246
0.5288295 47.101985 0.17337696651596918
0.5335723 46.81251999999999 0.1718272027259412
0.5383152 46.637446000000004 0.17026798352718164
0.5430581 46.134738 0.1681681552155803
0.5478009 46.260615 0.16726179584026352
0.5525438 46.144000999999996 0.1659570527762683
0.5572867 46.121954 0.16485370220347492
0.5620295 45.840213999999996 0.163324582871756
0.5667724 45.343142 0.16144950056664623
0.5715152 45.369326 0.16053746667588256
0.5762581 45.290246 0.15946054217094835
0.581001 45.19525699999999 0.15842569491317468
0.5857438 44.933499999999995 0.15749396337013016
0.5904867 44.978189 0.15719349723589043
0.5952296 44.836544999999994 0.1565669642037598
0.5999724 44.567546 0.1558881982304905
0.6047153 44.436512 0.15526533192993439
0.6094582 44.041561 0.15407809698107516
0.614201 44.023116 0.15382921323708576
0.6189439 43.997443000000004 0.15328489066700182
0.6236868 43.699091 0.1524118397665552
0.6284296 43.635498 0.15195439612375122
0.6331725 43.494363 0.15136154576477506
0.6379154 43.49441999999999 0.15101827213167185
0.6426582 43.223392000000004 0.15020931337934243
0.6474011 43.0309 0.14954095851972093
0.652144 42.969937 0.14910043925462896
0.6568868 42.912335 0.1486695059586693
0.6616297 42.298042 0.14727722280795086
0.6663726 42.50179800000001 0.14730938931341953
0.6711154 42.299004 0.1466350787094606
0.6758583 42.009458 0.14581386047112874
0.6806011 41.937996999999996 0.1453753131665965
0.685344 41.928897 0.1450484529965022
0.6900869 41.46494599999999 0.14393324874603158
0.6948297 41.612443999999996 0.14388026380912916
0.6995726 41.534600999999995 0.14344081468683906
0.7043155 41.368274 0.14285212929400037
0.7090583 41.212674 0.14228165642073085
0.7138012 40.807311 0.14128195895603163
0.7185441 40.72343300000001 0.14084264393194165
0.7232869 40.885851 0.140831222221997
0.7280298 40.956191000000004 0.14065939252053486
0.7327727 40.528082999999995 0.13963230075425243
0.7375155 40.326551 0.13899922575367568
0.7422584 40.27062 0.13861985129127719
0.7470013 40.043629 0.13794620884564823
0.7517441 39.944756 0.13749463838127143
0.756487 39.56568500000001 0.13656461189907837
0.7612299 39.56543799999999 0.13629036402865904
0.7659727 39.512059 0.13592460599367945
0.7707156 39.207612 0.13512788435810463
0.7754585 39.212952 0.13486919592720795
0.7802013 39.164747 0.1346528552994562
0.7849442 38.98424200000001 0.13402992541677325
0.789687 38.836864000000006 0.13342545687574503
0.7944299 38.758006 0.1330292083138098
0.7991728 38.729735000000005 0.13272203340963099
0.8039156 38.230317 0.13160664778303374
0.8086585 38.416202999999996 0.1316689365344541
0.8134014 38.309323 0.13123205580891278
0.8181442 38.210516 0.13091031140045312
0.8228871 38.02788199999999 0.13025330351180886
0.82763 37.81911699999999 0.12964051979616673
0.8323728 37.625614 0.1290624301767807
0.8371157 37.454956 0.1285264504356399
0.8418586 37.451015 0.1282765865251699
0.8466014 37.516839 0.12814588382115558
0.8513443 37.395965000000004 0.1276997028525705
0.8560872 37.181285 0.12709555587235694
0.86083 36.92678500000001 0.12642379750656912
0.8655729 37.078716 0.1264470877488774
0.8703158 36.843849 0.12581311873328194
0.8750586 36.778270000000006 0.1254701801971297
0.8798015 36.606182000000004 0.12494651561860617
0.8845443 36.507767 0.12454878281773611
0.8892872 36.586493 0.12445551856114015
0.8940301 36.259418999999994 0.12367379881192175
0.8987729 36.102778 0.12318293287744246
0.9035158 36.048170999999996 0.12286602847601975
0.9082587 36.102685 0.12273813297622056
0.9130015 35.755264999999994 0.12192786120487638
0.9177444 35.78317500000001 0.12175777454415426
0.9224873 35.78352099999999 0.12154029055747932
0.9272301 35.568984 0.12096048949261284
0.931973 35.488188 0.12061004649345966
0.9367159 35.351129 0.12016509269951278
0.9414587 35.110077000000004 0.11954302476334952
0.9462016 35.131536 0.11937015515742241
0.9509445 34.94862800000001 0.1188522133161192
0.9556873 34.92359700000001 0.11860319629438702
0.9604302 34.86276600000001 0.11829320607954034
0.9651731 34.848949 0.11806558074935472
0.9699159 34.884404 0.11792295157162325
0.9746588 34.672732999999994 0.11736318211591701
0.9794017 34.580058 0.11700442745480104
0.9841445 34.343244 0.11640435056925535
0.9888874 34.385327999999994 0.11627852244518158
0.9936302 34.275763999999995 0.1158968975266245
0.9983731 34.128645999999996 0.1154513805457947
1.003116 34.07467199999999 0.1151659471068766
1.007859 34.22862200000001 0.11523286272723117
1.012602 34.164155 0.11493222474481557
1.017345 33.803577000000004 0.11413230019539164
1.022087 33.626183 0.11364334825103754
1.02683 33.674985 0.11353817792509047
1.031573 33.561268999999996 0.11315948370869056
1.036316 33.337471 0.11259486658680004
1.041059 33.393719000000004 0.11250500853109073
1.045802 33.343984999999996 0.11223791298912769
1.050545 33.37469600000001 0.11210700022667006
1.055287 33.179543 0.1115957516418488
1.06003 33.090506999999995 0.11126557834504884
1.064773 33.153429 0.11119199235641342
1.069516 32.746735 0.11033045826299055
1.074259 32.711449 0.11009292618144954
1.079002 32.859401000000005 0.1101650684528254
1.083745 32.766040999999994 0.10985723031540665
1.088488 32.723527000000004 0.10963598361859075
1.09323 32.465774999999994 0.10898169418745425
1.097973 32.49849100000001 0.10886417900299665
1.102716 32.337483999999996 0.10842370321981076
1.107459 32.40097 0.1083600401984477
1.112202 32.42038899999999 0.10822164061054193
1.116945 32.199432 0.10768386302410822
1.121688 32.171712 0.10747041886559436
1.12643 32.003152 0.10702262342223443
1.131173 32.04346700000001 0.10692334288767771
1.135916 31.971974 0.10663919145000537
1.140659 31.874699000000003 0.106313642447494
1.145402 31.810684 0.10604430381381595
1.150145 31.749247000000004 0.10577893358844803
1.154888 31.686449 0.10551310543698351
1.159631 31.643421999999997 0.10528163507979633
1.164373 31.575411999999993 0.10500984125313875
1.169116 31.477222 0.10476559160632512
1.173859 31.333502 0.10434038234962147
1.178602 31.357788999999997 0.10417406542944314
1.183345 31.369633000000004 0.10403822133113869
1.188088 31.263576000000008 0.10370624602639707
1.192831 31.159922 0.10337982699469853
1.197573 31.119387 0.1031595122426541
1.202316 31.087622 0.10295474116698462
1.207059 31.231094000000002 0.103373043310839
1.211802 31.133553 0.10659115499090158
1.216545 31.045305000000003 0.10865552655593178
1.221288 31.026464999999995 0.11025549166111455
1.226031 30.904014999999998 0.11141546064864156
1.230774 30.719530999999996 0.11230703547504003
1.235516 30.742303 0.11347261717656158
1.240259 30.542975999999992 0.11415108040943371
1.245002 30.561669000000002 0.11517522756313095
1.249745 30.779290000000003 0.1165325889657803
1.254488 30.659933000000002 0.11721608938677149
1.259231 30.376569 0.1172675304412466
1.263974 30.367283999999994 0.11755101703229028
