# Fitted chi: 0.288774 +- 0.00591286
# Scaling factor for file 1: 0.815651 +- 0.0052057
# Scaling factor for file 2: -1.30927 +- 0.0956651
# Scaling factor for file 3: 0.090293 +- 0.289108
# Scaling factor for file 4: 1.39679 +- 0.216995

@type xydy
0.3011719 51.25203799999999 0.15278531446730573
0.3059148 51.010858999999996 0.1512130514257655
0.3106577 50.782142 0.1496842808317032
0.3154005 50.62004499999999 0.14829415796596573
0.3201434 50.041019999999996 0.14633116167667262
0.3248863 49.994821 0.14517061260437186
0.3296291 49.929368 0.14399915001519628
0.334372 49.954130000000006 0.14298804367132764
0.3391149 49.892711000000006 0.14337241470534562
0.3438577 50.028066 0.1454220384362336
0.3486006 49.345902 0.14810373009510902
0.3533435 49.245749 0.1506673637622949
0.3580863 48.883303 0.15197796618060924
0.3628292 48.540715 0.15293811199587662
0.367572 48.622841 0.1543272988030397
0.3723149 48.491988000000006 0.1552537941256271
0.3770578 48.271219 0.15593660519404384
0.3818006 47.985668 0.15630417099621205
0.3865435 47.894828000000004 0.15692661463537472
0.3912864 47.780501 0.15736773498114184
0.3960292 47.277440999999996 0.1571803501166456
0.4007721 47.470611999999996 0.15817434697297694
0.405515 47.449169000000005 0.163588978133156
0.4102578 47.009839 0.16707600603303605
0.4150007 46.998603 0.17071403027965132
0.4197436 47.038242000000004 0.17341642425399534
0.4244864 46.68175599999999 0.17555540989749818
0.4292293 46.239838 0.1773916874579443
0.4339722 46.248529 0.18012473281722474
0.438715 46.033638 0.18232746567115304
0.4434579 45.855206 0.18464712256561894
0.4482008 45.725091 0.18749821543686918
0.4529436 45.60498 0.19030366679118116
0.4576865 45.65317 0.19239255987466405
0.4624294 45.285283 0.1932119832876271
0.4671722 44.94375 0.19153120641492288
0.4719151 45.211258 0.18453927897770325
0.4766579 44.854533999999994 0.18034906845701063
0.4814008 44.669561 0.17769056929831306
0.4861437 44.664878 0.1759322952551634
0.4908865 44.51902399999999 0.17421270548405648
0.4956294 44.27633900000001 0.17251450683849287
0.5003723 44.197126 0.17127621746435845
0.5051151 43.974954000000004 0.1698758172321193
0.509858 43.790851999999994 0.1686385519336563
0.5146009 43.525891 0.16731580494066273
0.5193437 43.29111 0.16610051430096176
0.5240866 43.164573999999995 0.16514317376719753
0.5288295 43.02267200000001 0.1641964547426442
0.5335723 42.965002000000005 0.163121645555299
0.5383152 42.565822999999995 0.1611904855391524
0.5430581 42.628395999999995 0.16018526005924139
0.5478009 42.274483000000004 0.1584431590721903
0.5525438 42.16284400000001 0.15719772870160975
0.5572867 42.341347999999996 0.15652022281065375
0.5620295 41.82335500000001 0.15458983727679582
0.5667724 41.823645000000006 0.15365091857464602
0.5715152 41.582620000000006 0.15229809780759707
0.5762581 41.449464 0.15116587151641506
0.581001 41.30963 0.15008875891956835
0.5857438 41.121909 0.14929961383036025
0.5904867 41.08616500000001 0.14887600091898529
0.5952296 40.761785 0.14792920541640148
0.5999724 41.009685000000005 0.1481802868495577
0.6047153 40.696867999999995 0.14724083553716782
0.6094582 40.637296000000006 0.14666120127271767
0.614201 40.381404 0.1459931250736695
0.6189439 40.352128 0.14546623745246795
0.6236868 39.967316 0.14443693039394082
