@s0 legend "1"
0.03082862 622.7092575    3.43349634
0.03557149 2389.71048333  444.11029626
0.04031435 3055.0192      557.70777272
0.04505722 1565.514735    212.05378654
0.04980008 986.97385917 121.7393556 
0.05454295 685.91626917  79.06966002
0.05928581 493.71758667  53.91663868
0.06402868 380.5676025   37.82045372
0.06877154 305.29184667  27.84343194
0.07351441 251.156825   21.1565184
0.07825728 210.35919417  16.15116634
0.08300014 181.52927583  12.86078853
0.08774301 160.03370917  10.44512909
0.09248587 143.63877      8.65340915
0.09722874 130.17375917   7.24407258
0.1019716 119.18017575   6.1732725 
0.1067145 111.82316883   5.46034664
0.1114573 104.95513917   4.8467819 
0.1162002 99.32254092  4.45047437
0.1209431 95.33844908  4.1348416 
0.1256859 91.64468167  3.77935318
0.1304288 88.47988642  3.54619681
0.1351717 85.559085    3.32516847
0.1399145 83.28839942  3.19438764
0.1446574 80.93149708  3.11876308
0.1494003 79.15450358  2.9526131 
0.1541431 77.83372175  2.8711821 
0.158886 76.3605925   2.86419822
0.1636288 75.11897592  2.75709592
0.1683717 73.9790055   2.73402523
0.1731146 72.81265617  2.67830289
0.1778574 71.904404    2.65645907
0.1826003 70.96167867  2.62405187
0.1873432 70.24774642  2.54089032
0.192086 69.53037875  2.49160845
0.1968289 68.93392808  2.49081739
0.2015718 68.36676333  2.49313477
0.2063146 67.82749633  2.46228351
0.2110575 67.35740242  2.46750478
0.2158004 66.74950225  2.4191433 
0.2205432 66.23444092  2.38382982
0.2252861 65.84658942  2.38240178
0.230029 65.48903383  2.32862734
0.2347718 65.11070767  2.33397613
0.2395147 64.70111333  2.33413532
0.2442576 64.26845208  2.29729735
0.2490004 64.08242383  2.28697363
0.2537433 63.539076    2.28091231
0.2584862 63.18042808  2.27066374
0.263229 62.92852258  2.22101417
0.2679719 62.66509058  2.22453041
0.2727147 62.32453375  2.19303569
0.2774576 62.1068585   2.18356877
0.2822005 61.83772008  2.1674928 
0.2869433 61.5147625   2.13481736
0.2916862 61.30794708  2.1075434 
0.2964291 60.9317925   2.10623665
0.3011719 60.70029042  2.11116504
0.3059148 60.50959675  2.10005071
0.3106577 60.19086433  2.09899867
0.3154005 59.92863258  2.05723684
0.3201434 59.79859375  2.03816471
0.3248863 59.51471217  2.04253357
0.3296291 59.2438155   2.05819973
0.334372 59.1305235   2.01147124
0.3391149 59.14863208  2.01964898
0.3438577 58.9648905   1.99076518
0.3486006 58.61007975  1.97034893
0.3533435 58.39199825  1.96730839
0.3580863 58.18360917  1.96473873
0.3628292 57.90154292  1.94640954
0.367572 57.67546083  1.89206407
0.3723149 57.52156042  1.89240554
0.3770578 57.29987467  1.90593433
0.3818006 57.02247283  1.86124081
0.3865435 56.83165308  1.88328911
0.3912864 56.5158425   1.85071768
0.3960292 56.42925042  1.84491059
0.4007721 56.44254058  1.87563806
0.405515 56.269322    1.82545196
0.4102578 56.005665    1.83433352
0.4150007 55.6879515   1.78611784
0.4197436 55.59536617  1.79946992
0.4244864 55.32384217  1.77628101
0.4292293 55.05244233  1.73495962
0.4339722 54.82062008  1.75581068
0.438715 54.69781825  1.72278182
0.4434579 54.61902942  1.72264096
0.4482008 54.23332225  1.72222324
0.4529436 54.06143217  1.69206852
0.4576865 53.88810642  1.67152034
0.4624294 53.67988725  1.6661454 
0.4671722 53.68213183  1.68034558
0.4719151 53.73168033  1.64155249
0.4766579 53.4092605   1.64223585
0.4814008 53.13264842  1.62423114
0.4861437 52.90291642  1.62099007
0.4908865 52.64236533  1.57032557
0.4956294 52.44917208  1.55503512
0.5003723 52.16498258  1.56294028
0.5051151 51.91231767  1.57653126
0.509858 51.7209835   1.53959508
